Label,Points:0,Points:1,Points:2,activationTime
P1,0.0,0.0,0.007,0.00118847
P2,0.0,0.0,0.0,0.0405214
P3,0.019999,0.0,0.007,0.0350082
P4,0.019999,0.0,0.0,0.0535058
P5,0.0,0.003,0.007,0.0112306
P6,0.0,0.003,0.0,0.0422763
P7,0.019999,0.003,0.007,0.0364317
P8,0.019999,0.003,0.0,0.0544675
P9,0.01,0.0015,0.0035,0.0238906
