start_probe,end_probe,dx_mm,dt_ms,cv_m_per_s
0,1,3.000000,4.735690,0.63348741
1,2,5.000000,8.161260,0.61265050
2,3,5.000000,8.194600,0.61015791
3,4,3.000000,4.912800,0.61064973
