start_probe,end_probe,dx_mm,dt_ms,cv_m_per_s
0,1,3.000000,4.561410,0.65769137
1,2,5.000000,7.842290,0.63756887
2,3,5.000000,7.871200,0.63522716
3,4,3.000000,4.718600,0.63578180
