Label,Points:0,Points:1,Points:2,activationTime
P1,0.0,0.0,0.007,0.00119219
P2,0.0,0.0,0.0,0.132206
P3,0.019999,0.0,0.007,0.0465428
P4,0.019999,0.0,0.0,0.142016
P5,0.0,0.003,0.007,0.0359032
P6,0.0,0.003,0.0,0.133521
P7,0.019999,0.003,0.007,0.0559147
P8,0.019999,0.003,0.0,0.142926
P9,0.01,0.0015,0.0035,0.0706417
