start_probe,end_probe,dx_mm,dt_ms,cv_m_per_s
0,1,3.000000,4.666740,0.64284704
1,2,5.000000,7.770500,0.64345924
2,3,5.000000,7.772600,0.64328539
3,4,3.000000,4.660200,0.64374920
