start_probe,end_probe,dx_mm,dt_ms,cv_m_per_s
0,1,3.000000,4.389280,0.68348340
1,2,5.000000,7.310120,0.68398330
2,3,5.000000,7.309800,0.68401324
3,4,3.000000,4.386500,0.68391656
