start_probe,end_probe,dx_mm,dt_ms,cv_m_per_s
0,1,3.000000,4.598970,0.65231998
1,2,5.000000,7.964660,0.62777319
2,3,5.000000,7.351200,0.68016106
3,4,3.000000,4.595500,0.65281253
