start_probe,end_probe,dx_mm,dt_ms,cv_m_per_s
0,1,3.000000,4.796020,0.62551866
1,2,5.000000,7.999520,0.62503750
2,3,5.000000,8.004000,0.62468766
3,4,3.000000,4.798600,0.62518234
