start_probe,end_probe,dx_mm,dt_ms,cv_m_per_s
0,1,3.000000,6.205720,0.48342497
1,2,5.000000,10.324800,0.48427088
2,3,5.000000,10.324800,0.48427088
3,4,3.000000,6.196500,0.48414427
