start_probe,end_probe,dx_mm,dt_ms,cv_m_per_s
0,1,3.000000,4.317870,0.69478701
1,2,5.000000,7.192670,0.69515215
2,3,5.000000,7.192400,0.69517824
3,4,3.000000,4.315100,0.69523302
