metric,serial,parallel,absoluteDifference,tolerance,pass
interfaceFaces,7412.0,7412.0,0.0,7.41201e-05,True
heartPhiE_L1,0.000498439,0.000498439,0.0,1.0498439000000001e-10,True
heartPhiE_L2,0.000516474,0.000516474,0.0,1.0516474e-10,True
heartPhiE_Linf,0.00138796,0.00138796,0.0,1.138796e-10,True
bathPhiE_L1,0.000502714,0.000502714,0.0,1.0502714e-10,True
bathPhiE_L2,0.000708605,0.000708605,0.0,1.0708605000000001e-10,True
bathPhiE_Linf,0.00139643,0.00139643,0.0,1.139643e-10,True
x0PhiE_L1,0.000812245,0.000812245,0.0,1.0812245e-10,True
x0PhiE_L2,0.00082348,0.00082348,0.0,1.082348e-10,True
x0PhiE_Linf,0.0012157,0.0012157,0.0,1.12157e-10,True
x1PhiE_L1,0.000190998,0.000190998,0.0,1.0190998e-10,True
x1PhiE_L2,0.000227666,0.000227666,0.0,1.0227666e-10,True
x1PhiE_Linf,0.000929738,0.000929738,0.0,1.0929738e-10,True
x0TraceJump_L1,0.000216146,0.000216146,0.0,1.0216146e-10,True
x0TraceJump_L2,0.000218166,0.000218166,0.0,1.0218166e-10,True
x0TraceJump_Linf,0.000328737,0.000328737,0.0,1.0328737e-10,True
x1TraceJump_L1,0.000217926,0.000217926,0.0,1.0217926e-10,True
x1TraceJump_L2,0.000219806,0.000219806,0.0,1.0219806e-10,True
x1TraceJump_Linf,0.000306061,0.000306061,0.0,1.0306061000000001e-10,True
x0HeartFlux_L1,5.721e-05,5.721e-05,0.0,1.005721e-10,True
x0HeartFlux_L2,8.4775e-05,8.4775e-05,0.0,1.0084775e-10,True
x0HeartFlux_Linf,0.000554498,0.000554498,0.0,1.0554498e-10,True
x0BathFlux_L1,8.9555e-05,8.9555e-05,0.0,1.0089555e-10,True
x0BathFlux_L2,9.45824e-05,9.45824e-05,0.0,1.00945824e-10,True
x0BathFlux_Linf,0.000211248,0.000211248,0.0,1.0211248000000001e-10,True
x0FluxJump_L1,0.000100147,0.000100147,0.0,1.0100147000000001e-10,True
x0FluxJump_L2,0.000119073,0.000119073,0.0,1.0119073000000001e-10,True
x0FluxJump_Linf,0.000594694,0.000594694,0.0,1.0594694e-10,True
x1HeartFlux_L1,5.69536e-05,5.69536e-05,0.0,1.00569536e-10,True
x1HeartFlux_L2,8.13173e-05,8.13173e-05,0.0,1.00813173e-10,True
x1HeartFlux_Linf,0.000670962,0.000670962,0.0,1.0670962e-10,True
x1BathFlux_L1,9.27671e-05,9.27671e-05,0.0,1.00927671e-10,True
x1BathFlux_L2,9.71987e-05,9.71987e-05,0.0,1.00971987e-10,True
x1BathFlux_Linf,0.000206011,0.000206011,0.0,1.0206011e-10,True
x1FluxJump_L1,0.000103177,0.000103177,0.0,1.0103177e-10,True
x1FluxJump_L2,0.000120933,0.000120933,0.0,1.0120933e-10,True
x1FluxJump_Linf,0.00065177,0.00065177,0.0,1.065177e-10,True
x0IntracellularLeak_L1,0.000123304,0.000123304,0.0,1.0123304e-10,True
x0IntracellularLeak_L2,0.000132747,0.000132747,0.0,1.0132747e-10,True
x0IntracellularLeak_Linf,0.000369531,0.000369531,0.0,1.0369531000000001e-10,True
x1IntracellularLeak_L1,0.000126796,0.000126796,0.0,1.0126796e-10,True
x1IntracellularLeak_L2,0.000135507,0.000135507,0.0,1.0135507000000001e-10,True
x1IntracellularLeak_Linf,0.00036961,0.00036961,0.0,1.036961e-10,True
x0IntracellularLeakIntegral,0.000122858,0.000122858,0.0,1.0122858e-10,True
x1IntracellularLeakIntegral,-0.000126155,-0.000126155,0.0,1.0126155e-10,True
x0AssembledFlux_L1,0.000167577,0.000167577,0.0,1.0167577e-10,True
x0AssembledFlux_L2,0.000226414,0.000226414,0.0,1.0226414e-10,True
x0AssembledFlux_Linf,0.000935205,0.000935205,0.0,1.0935205000000001e-10,True
x1AssembledFlux_L1,0.000171343,0.000171343,0.0,1.0171343e-10,True
x1AssembledFlux_L2,0.000228181,0.000228181,0.0,1.0228181e-10,True
x1AssembledFlux_Linf,0.00108407,0.00108407,0.0,1.108407e-10,True
x0CorrectionFlux_L1,8.93606e-05,8.93606e-05,0.0,1.00893606e-10,True
x0CorrectionFlux_L2,0.000139079,0.000139079,0.0,1.0139079e-10,True
x0CorrectionFlux_Linf,0.000677278,0.000677278,0.0,1.0677278e-10,True
x1CorrectionFlux_L1,9.01913e-05,9.01913e-05,0.0,1.0090191300000001e-10,True
x1CorrectionFlux_L2,0.000137609,0.000137609,0.0,1.0137609000000001e-10,True
x1CorrectionFlux_Linf,0.000812885,0.000812885,0.0,1.0812885e-10,True
x0OrthogonalFlux_L1,0.000129315,0.000129315,0.0,1.0129315e-10,True
x0OrthogonalFlux_L2,0.000186501,0.000186501,0.0,1.0186501000000001e-10,True
x0OrthogonalFlux_Linf,0.000869667,0.000869667,0.0,1.0869667e-10,True
x1OrthogonalFlux_L1,0.000131668,0.000131668,0.0,1.0131668e-10,True
x1OrthogonalFlux_L2,0.00018726,0.00018726,0.0,1.0187260000000001e-10,True
x1OrthogonalFlux_Linf,0.00108399,0.00108399,0.0,1.1083990000000001e-10,True
exactHeartInterfaceResidual_L1,0.0,0.0,0.0,1e-10,True
exactHeartInterfaceResidual_L2,0.0,0.0,0.0,1e-10,True
exactHeartInterfaceResidual_Linf,0.0,0.0,0.0,1e-10,True
exactHeartBulkResidual_L1,0.0,0.0,0.0,1e-10,True
exactHeartBulkResidual_L2,0.0,0.0,0.0,1e-10,True
exactHeartBulkResidual_Linf,0.0,0.0,0.0,1e-10,True
exactBathInterfaceResidual_L1,0.0,0.0,0.0,1e-10,True
exactBathInterfaceResidual_L2,0.0,0.0,0.0,1e-10,True
exactBathInterfaceResidual_Linf,0.0,0.0,0.0,1e-10,True
exactBathBulkResidual_L1,0.0,0.0,0.0,1e-10,True
exactBathBulkResidual_L2,0.0,0.0,0.0,1e-10,True
exactBathBulkResidual_Linf,0.0,0.0,0.0,1e-10,True
exactHeartInterfaceLhsError_L1,0.0,0.0,0.0,1e-10,True
exactHeartInterfaceLhsError_L2,0.0,0.0,0.0,1e-10,True
exactHeartInterfaceLhsError_Linf,0.0,0.0,0.0,1e-10,True
exactHeartBulkLhsError_L1,0.0,0.0,0.0,1e-10,True
exactHeartBulkLhsError_L2,0.0,0.0,0.0,1e-10,True
exactHeartBulkLhsError_Linf,0.0,0.0,0.0,1e-10,True
exactHeartInterfaceRhsError_L1,0.0,0.0,0.0,1e-10,True
exactHeartInterfaceRhsError_L2,0.0,0.0,0.0,1e-10,True
exactHeartInterfaceRhsError_Linf,0.0,0.0,0.0,1e-10,True
exactHeartBulkRhsError_L1,0.0,0.0,0.0,1e-10,True
exactHeartBulkRhsError_L2,0.0,0.0,0.0,1e-10,True
exactHeartBulkRhsError_Linf,0.0,0.0,0.0,1e-10,True
matchedHeartInterfaceResidual_L1,0.0,0.0,0.0,1e-10,True
matchedHeartInterfaceResidual_L2,0.0,0.0,0.0,1e-10,True
matchedHeartInterfaceResidual_Linf,0.0,0.0,0.0,1e-10,True
matchedHeartBulkResidual_L1,0.0,0.0,0.0,1e-10,True
matchedHeartBulkResidual_L2,0.0,0.0,0.0,1e-10,True
matchedHeartBulkResidual_Linf,0.0,0.0,0.0,1e-10,True
matchedBathInterfaceResidual_L1,0.0,0.0,0.0,1e-10,True
matchedBathInterfaceResidual_L2,0.0,0.0,0.0,1e-10,True
matchedBathInterfaceResidual_Linf,0.0,0.0,0.0,1e-10,True
matchedBathBulkResidual_L1,0.0,0.0,0.0,1e-10,True
matchedBathBulkResidual_L2,0.0,0.0,0.0,1e-10,True
matchedBathBulkResidual_Linf,0.0,0.0,0.0,1e-10,True
xMinPhiE_L1,0.0,0.0,0.0,1e-10,True
xMinPhiE_L2,0.0,0.0,0.0,1e-10,True
xMinPhiE_Linf,0.0,0.0,0.0,1e-10,True
xMaxFlux_L1,2.7075e-09,2.7075e-09,0.0,1.00000027075e-10,True
xMaxFlux_L2,2.7075e-09,2.7075e-09,0.0,1.00000027075e-10,True
xMaxFlux_Linf,2.7075e-09,2.7075e-09,0.0,1.00000027075e-10,True
sidesFlux_L1,0.0,0.0,0.0,1e-10,True
sidesFlux_L2,0.0,0.0,0.0,1e-10,True
sidesFlux_Linf,0.0,0.0,0.0,1e-10,True
exteriorFluxIntegral,2.26939e-09,2.26939e-09,0.0,1.000000226939e-10,True
