Label,Points:0,Points:1,Points:2,activationTime
P1,0.0,0.0,0.007,0.00119062
P2,0.0,0.0,0.0,0.0405128
P3,0.019999,0.0,0.007,0.0350646
P4,0.019999,0.0,0.0,0.0535626
P5,0.0,0.003,0.007,0.0112303
P6,0.0,0.003,0.0,0.0422756
P7,0.019999,0.003,0.007,0.0364931
P8,0.019999,0.003,0.0,0.054528
P9,0.01,0.0015,0.0035,0.0239227
