activationTime,arc_length,Points_0,Points_1,Points_2
0.00118847,0.0,0.0,0.0,0.007
0.00118847,0.000214009345590327,0.0002,3e-05,0.00693
0.00118883,0.000428018691180654,0.0004,6e-05,0.00686
0.00119033,0.0006420280367709809,0.0006,8.999999999999999e-05,0.00679
0.00119498,0.000856037382361308,0.0008,0.00012,0.00672
0.00120836,0.001070046727951635,0.001,0.00015000000000000001,0.00665
0.0012496,0.0012840560735419618,0.0012,0.00017999999999999998,0.00658
0.00140353,0.001498065419132289,0.0014000000000000002,0.00021000000000000004,0.00651
0.00165638,0.001712074764722616,0.0016,0.00024,0.00644
0.00186431,0.0019260841103129428,0.0018,0.00027,0.00637
0.00221797,0.00214009345590327,0.002,0.00030000000000000003,0.0063
0.00257645,0.002354102801493597,0.0022,0.00033,0.00623
0.00293107,0.0025681121470839236,0.0024,0.00035999999999999997,0.0061600000000000005
0.00329475,0.002782121492674251,0.0026000000000000003,0.00039000000000000005,0.00609
0.00369053,0.002996130838264578,0.0028000000000000004,0.00042000000000000007,0.00602
0.00407826,0.0032101401838549046,0.003,0.00045,0.00595
0.00444278,0.003424149529445232,0.0032,0.00048,0.00588
0.00480849,0.003638158875035559,0.0034000000000000002,0.00051,0.00581
0.005259,0.0038521682206258856,0.0036,0.00054,0.00574
0.00562996,0.004066177566216213,0.0038,0.00057,0.00567
0.0062095,0.00428018691180654,0.004,0.0006000000000000001,0.0056
0.00661086,0.004494196257396867,0.0042,0.00063,0.00553
0.00697779,0.004708205602987194,0.0044,0.00066,0.00546
0.00773327,0.004922214948577521,0.0046,0.0006900000000000001,0.00539
0.00807886,0.005136224294167847,0.0048,0.0007199999999999999,0.00532
0.00842723,0.005350233639758175,0.005,0.00075,0.00525
0.00935053,0.005564242985348502,0.005200000000000001,0.0007800000000000001,0.005180000000000001
0.00972848,0.005778252330938829,0.0054,0.0008100000000000001,0.00511
0.0100522,0.005992261676529156,0.005600000000000001,0.0008400000000000001,0.005039999999999999
0.0111039,0.006206271022119482,0.0058,0.00087,0.0049700000000000005
0.0114013,0.006420280367709809,0.006,0.0009,0.0049
0.0117035,0.006634289713300137,0.0062,0.00093,0.00483
0.0128411,0.006848299058890464,0.0064,0.00096,0.00476
0.0131212,0.007062308404480791,0.006600000000000001,0.00099,0.00469
0.0134957,0.007276317750071118,0.0068000000000000005,0.00102,0.00462
0.0146945,0.007490327095661444,0.006999999999999999,0.00105,0.00455
0.0149604,0.007704336441251771,0.0072,0.00108,0.00448
0.0152306,0.007918345786842099,0.0074,0.00111,0.004410000000000001
0.0164719,0.008132355132432425,0.0076,0.00114,0.00434
0.0167271,0.008346364478022754,0.0078000000000000005,0.00117,0.0042699999999999995
0.0180157,0.00856037382361308,0.008,0.0012000000000000001,0.0042
0.0183765,0.008774383169203407,0.008199999999999999,0.00123,0.00413
0.0186221,0.008988392514793733,0.0084,0.00126,0.00406
0.0199306,0.00920240186038406,0.0086,0.00129,0.0039900000000000005
0.0201662,0.009416411205974388,0.0088,0.00132,0.00392
0.0204048,0.009630420551564715,0.009000000000000001,0.00135,0.00385
0.0217304,0.009844429897155041,0.0092,0.0013800000000000002,0.00378
0.0220988,0.010058439242745368,0.0094,0.00141,0.00371
0.0223303,0.010272448588335694,0.0096,0.0014399999999999999,0.00364
0.0236664,0.010486457933926023,0.0098,0.00147,0.0035700000000000003
0.0238906,0.01070046727951635,0.01,0.0015,0.0035
0.0241175,0.010914476625106676,0.0102,0.0015300000000000001,0.00343
0.0254652,0.011128485970697004,0.010400000000000001,0.0015600000000000002,0.00336
0.0256857,0.01134249531628733,0.0106,0.00159,0.00329
0.0260609,0.011556504661877657,0.0108,0.0016200000000000001,0.0032199999999999998
0.0274139,0.011770514007467986,0.011000000000000001,0.0016500000000000002,0.0031499999999999996
0.0276299,0.011984523353058312,0.011200000000000002,0.0016800000000000003,0.0030799999999999994
0.0278481,0.012198532698648637,0.011399999999999999,0.00171,0.0030100000000000005
0.0292099,0.012412542044238964,0.0116,0.00174,0.0029400000000000008
0.0294232,0.012626551389829292,0.0118,0.0017699999999999999,0.00287
0.0307987,0.012840560735419618,0.012,0.0018,0.0028000000000000004
0.0311662,0.013054570081009945,0.0122,0.00183,0.00273
0.0313759,0.013268579426600273,0.0124,0.00186,0.00266
0.0327528,0.0134825887721906,0.0126,0.00189,0.0025900000000000003
0.0329587,0.013696598117780928,0.0128,0.00192,0.0025199999999999997
0.0331663,0.013910607463371255,0.013000000000000001,0.0019500000000000001,0.00245
