# time Cd
0.05 1.38962
0.1 -2.62439
0.15 -2.46103
0.2 -2.15634
0.25 -1.99576
0.3 -1.73395
0.35 -1.40842
0.4 -1.17335
0.45 -0.849551
0.5 -0.602137
0.55 -0.263325
0.6 0.00749363
0.65 0.299012
0.7 0.602837
0.75 0.864587
0.8 1.11638
0.85 1.35144
0.9 1.57362
0.95 1.7762
1 1.95591
1.05 2.13593
1.1 2.29933
1.15 2.45462
1.2 2.59355
1.25 2.73009
1.3 2.86699
1.35 2.99076
1.4 3.08814
1.45 3.20714
1.5 3.28291
1.55 3.38409
1.6 3.39511
1.65 3.47613
1.7 3.39261
1.75 3.35923
1.8 3.2928
1.85 3.2415
1.9 3.06919
1.95 2.99127
2 2.86584
2.05 2.74083
2.1 2.54396
2.15 2.33181
2.2 2.08856
2.25 1.91258
2.3 1.68288
2.35 1.38671
2.4 1.15391
2.45 0.835442
2.5 0.588011
2.55 0.253409
2.6 -0.0156541
2.65 -0.305207
2.7 -0.60368
2.75 -0.867121
2.8 -1.11582
2.85 -1.3503
2.9 -1.57235
2.95 -1.7746
3 -1.95501
3.05 -2.13732
3.1 -2.30478
3.15 -2.46448
3.2 -2.61013
3.25 -2.75335
3.3 -2.90118
3.35 -3.04215
3.4 -3.15893
3.45 -3.30256
3.5 -3.41599
3.55 -3.56725
3.6 -3.60733
3.65 -3.74381
3.7 -3.67453
3.75 -3.65667
3.8 -3.58109
3.85 -3.51127
3.9 -3.29709
3.95 -3.18701
4 -3.02854
4.05 -2.87333
4.1 -2.64766
4.15 -2.41182
4.2 -2.14776
4.25 -1.95833
4.3 -1.7161
4.35 -1.4092
4.4 -1.16934
4.45 -0.844972
4.5 -0.593955
4.55 -0.256227
4.6 0.0144783
4.65 0.305148
4.7 0.605758
4.75 0.868129
4.8 1.11725
4.85 1.35177
4.9 1.57395
4.95 1.77618
5 1.95731
5.05 2.13886
5.1 2.30643
5.15 2.46594
5.2 2.61177
5.25 2.75458
5.3 2.90247
5.35 3.04355
5.4 3.15988
5.45 3.30269
5.5 3.41503
5.55 3.56464
5.6 3.60301
5.65 3.73675
5.7 3.66549
5.75 3.64508
5.8 3.56813
5.85 3.49726
5.9 3.28353
5.95 3.17367
6 3.01595
6.05 2.86148
6.1 2.63691
6.15 2.40214
6.2 2.1395
6.25 1.95108
6.3 1.71039
6.35 1.40516
6.4 1.16669
6.45 0.843683
6.5 0.593739
6.55 0.256703
6.6 -0.0134394
6.65 -0.303863
6.7 -0.603118
6.75 -0.866873
6.8 -1.11592
6.85 -1.35051
6.9 -1.57284
6.95 -1.77516
7 -1.95569
7.05 -2.13805
7.1 -2.30569
7.15 -2.46538
7.2 -2.61111
7.25 -2.75414
7.3 -2.90199
7.35 -3.04299
7.4 -3.15923
7.45 -3.30247
7.5 -3.41455
7.55 -3.56448
7.6 -3.60299
7.65 -3.73676
7.7 -3.66563
7.75 -3.6454
7.8 -3.5685
7.85 -3.49766
7.9 -3.28391
7.95 -3.17405
8 -3.01617
