metric,serial,parallel,absoluteDifference,tolerance,pass
interfaceFaces,488.0,488.0,0.0,4.8801e-06,True
heartPhiE_L1,0.00575671,0.00575671,0.0,1.575671e-10,True
heartPhiE_L2,0.00606607,0.00606607,0.0,1.606607e-10,True
heartPhiE_Linf,0.00912926,0.00912926,0.0,1.9129260000000002e-10,True
bathPhiE_L1,0.00585127,0.00585127,0.0,1.585127e-10,True
bathPhiE_L2,0.00821426,0.00821426,0.0,1.821426e-10,True
bathPhiE_Linf,0.0141732,0.0141732,0.0,2.41732e-10,True
x0PhiE_L1,0.00315962,0.00315962,0.0,1.3159620000000002e-10,True
x0PhiE_L2,0.0032013,0.0032013,0.0,1.3201300000000002e-10,True
x0PhiE_Linf,0.00425661,0.00425661,0.0,1.425661e-10,True
x1PhiE_L1,0.00842586,0.00842586,0.0,1.842586e-10,True
x1PhiE_L2,0.00844074,0.00844074,0.0,1.844074e-10,True
x1PhiE_Linf,0.0114205,0.0114205,0.0,2.14205e-10,True
x0TraceJump_L1,0.00514462,0.00514462,0.0,1.514462e-10,True
x0TraceJump_L2,0.00533178,0.00533178,0.0,1.5331780000000002e-10,True
x0TraceJump_Linf,0.00824899,0.00824899,0.0,1.824899e-10,True
x1TraceJump_L1,0.00543365,0.00543365,0.0,1.543365e-10,True
x1TraceJump_L2,0.00562889,0.00562889,0.0,1.562889e-10,True
x1TraceJump_Linf,0.0088611,0.0088611,0.0,1.88611e-10,True
x0HeartFlux_L1,0.00326154,0.00326154,0.0,1.326154e-10,True
x0HeartFlux_L2,0.00351485,0.00351485,0.0,1.351485e-10,True
x0HeartFlux_Linf,0.00606385,0.00606385,0.0,1.6063850000000001e-10,True
x0BathFlux_L1,7.33652e-05,7.33652e-05,0.0,1.00733652e-10,True
x0BathFlux_L2,9.44999e-05,9.44999e-05,0.0,1.00944999e-10,True
x0BathFlux_Linf,0.000215125,0.000215125,0.0,1.0215125e-10,True
x0FluxJump_L1,0.00332478,0.00332478,0.0,1.332478e-10,True
x0FluxJump_L2,0.00355823,0.00355823,0.0,1.355823e-10,True
x0FluxJump_Linf,0.00607131,0.00607131,0.0,1.607131e-10,True
x1HeartFlux_L1,0.00348179,0.00348179,0.0,1.348179e-10,True
x1HeartFlux_L2,0.00375135,0.00375135,0.0,1.375135e-10,True
x1HeartFlux_Linf,0.006692,0.006692,0.0,1.6692e-10,True
x1BathFlux_L1,7.53383e-05,7.53383e-05,0.0,1.0075338300000001e-10,True
x1BathFlux_L2,9.01467e-05,9.01467e-05,0.0,1.0090146700000001e-10,True
x1BathFlux_Linf,0.000234557,0.000234557,0.0,1.0234557e-10,True
x1FluxJump_L1,0.00354331,0.00354331,0.0,1.354331e-10,True
x1FluxJump_L2,0.00379648,0.00379648,0.0,1.379648e-10,True
x1FluxJump_Linf,0.00678079,0.00678079,0.0,1.6780790000000002e-10,True
x0IntracellularLeak_L1,0.0032623,0.0032623,0.0,1.32623e-10,True
x0IntracellularLeak_L2,0.00350913,0.00350913,0.0,1.350913e-10,True
x0IntracellularLeak_Linf,0.00598085,0.00598085,0.0,1.598085e-10,True
x1IntracellularLeak_L1,0.00348105,0.00348105,0.0,1.348105e-10,True
x1IntracellularLeak_L2,0.0037524,0.0037524,0.0,1.37524e-10,True
x1IntracellularLeak_Linf,0.00674509,0.00674509,0.0,1.674509e-10,True
x0IntracellularLeakIntegral,0.0032623,0.0032623,0.0,1.32623e-10,True
x1IntracellularLeakIntegral,-0.00348105,-0.00348105,0.0,1.348105e-10,True
x0AssembledFlux_L1,0.000358797,0.000358797,0.0,1.0358797e-10,True
x0AssembledFlux_L2,0.000467976,0.000467976,0.0,1.0467976e-10,True
x0AssembledFlux_Linf,0.00155841,0.00155841,0.0,1.155841e-10,True
x1AssembledFlux_L1,0.00035269,0.00035269,0.0,1.035269e-10,True
x1AssembledFlux_L2,0.000461204,0.000461204,0.0,1.0461204e-10,True
x1AssembledFlux_Linf,0.00181305,0.00181305,0.0,1.1813050000000001e-10,True
x0CorrectionFlux_L1,0.000224788,0.000224788,0.0,1.0224788e-10,True
x0CorrectionFlux_L2,0.000376022,0.000376022,0.0,1.0376022000000001e-10,True
x0CorrectionFlux_Linf,0.00131268,0.00131268,0.0,1.131268e-10,True
x1CorrectionFlux_L1,0.000252143,0.000252143,0.0,1.0252143000000001e-10,True
x1CorrectionFlux_L2,0.000414012,0.000414012,0.0,1.0414012e-10,True
x1CorrectionFlux_Linf,0.00175619,0.00175619,0.0,1.175619e-10,True
x0OrthogonalFlux_L1,0.00038683,0.00038683,0.0,1.038683e-10,True
x0OrthogonalFlux_L2,0.000470355,0.000470355,0.0,1.0470355e-10,True
x0OrthogonalFlux_Linf,0.00132447,0.00132447,0.0,1.132447e-10,True
x1OrthogonalFlux_L1,0.000364107,0.000364107,0.0,1.0364107e-10,True
x1OrthogonalFlux_L2,0.000450572,0.000450572,0.0,1.0450572000000001e-10,True
x1OrthogonalFlux_Linf,0.00118314,0.00118314,0.0,1.1183140000000001e-10,True
exactHeartInterfaceResidual_L1,0.0,0.0,0.0,1e-10,True
exactHeartInterfaceResidual_L2,0.0,0.0,0.0,1e-10,True
exactHeartInterfaceResidual_Linf,0.0,0.0,0.0,1e-10,True
exactHeartBulkResidual_L1,0.0,0.0,0.0,1e-10,True
exactHeartBulkResidual_L2,0.0,0.0,0.0,1e-10,True
exactHeartBulkResidual_Linf,0.0,0.0,0.0,1e-10,True
exactBathInterfaceResidual_L1,0.0,0.0,0.0,1e-10,True
exactBathInterfaceResidual_L2,0.0,0.0,0.0,1e-10,True
exactBathInterfaceResidual_Linf,0.0,0.0,0.0,1e-10,True
exactBathBulkResidual_L1,0.0,0.0,0.0,1e-10,True
exactBathBulkResidual_L2,0.0,0.0,0.0,1e-10,True
exactBathBulkResidual_Linf,0.0,0.0,0.0,1e-10,True
exactHeartInterfaceLhsError_L1,0.0,0.0,0.0,1e-10,True
exactHeartInterfaceLhsError_L2,0.0,0.0,0.0,1e-10,True
exactHeartInterfaceLhsError_Linf,0.0,0.0,0.0,1e-10,True
exactHeartBulkLhsError_L1,0.0,0.0,0.0,1e-10,True
exactHeartBulkLhsError_L2,0.0,0.0,0.0,1e-10,True
exactHeartBulkLhsError_Linf,0.0,0.0,0.0,1e-10,True
exactHeartInterfaceRhsError_L1,0.0,0.0,0.0,1e-10,True
exactHeartInterfaceRhsError_L2,0.0,0.0,0.0,1e-10,True
exactHeartInterfaceRhsError_Linf,0.0,0.0,0.0,1e-10,True
exactHeartBulkRhsError_L1,0.0,0.0,0.0,1e-10,True
exactHeartBulkRhsError_L2,0.0,0.0,0.0,1e-10,True
exactHeartBulkRhsError_Linf,0.0,0.0,0.0,1e-10,True
matchedHeartInterfaceResidual_L1,0.0,0.0,0.0,1e-10,True
matchedHeartInterfaceResidual_L2,0.0,0.0,0.0,1e-10,True
matchedHeartInterfaceResidual_Linf,0.0,0.0,0.0,1e-10,True
matchedHeartBulkResidual_L1,0.0,0.0,0.0,1e-10,True
matchedHeartBulkResidual_L2,0.0,0.0,0.0,1e-10,True
matchedHeartBulkResidual_Linf,0.0,0.0,0.0,1e-10,True
matchedBathInterfaceResidual_L1,0.0,0.0,0.0,1e-10,True
matchedBathInterfaceResidual_L2,0.0,0.0,0.0,1e-10,True
matchedBathInterfaceResidual_Linf,0.0,0.0,0.0,1e-10,True
matchedBathBulkResidual_L1,0.0,0.0,0.0,1e-10,True
matchedBathBulkResidual_L2,0.0,0.0,0.0,1e-10,True
matchedBathBulkResidual_Linf,0.0,0.0,0.0,1e-10,True
xMinPhiE_L1,0.0,0.0,0.0,1e-10,True
xMinPhiE_L2,0.0,0.0,0.0,1e-10,True
xMinPhiE_Linf,0.0,0.0,0.0,1e-10,True
xMaxFlux_L1,2.7075e-09,2.7075e-09,0.0,1.00000027075e-10,True
xMaxFlux_L2,2.7075e-09,2.7075e-09,0.0,1.00000027075e-10,True
xMaxFlux_Linf,2.7075e-09,2.7075e-09,0.0,1.00000027075e-10,True
sidesFlux_L1,0.0,0.0,0.0,1e-10,True
sidesFlux_L2,0.0,0.0,0.0,1e-10,True
sidesFlux_Linf,0.0,0.0,0.0,1e-10,True
exteriorFluxIntegral,1.75261e-09,1.75261e-09,0.0,1.0000001752610001e-10,True
