# time Cd
0.2 72.0768
0.4 84.8089
0.6 22.954
0.8 -67.102
1 -30.7592
1.2 68.4884
1.4 88.5764
1.6 24.887
1.8 -64.6764
2 -28.0515
2.2 69.7062
2.4 89.6269
2.6 24.6342
2.8 -64.4619
3 -27.1113
3.2 70.4973
3.4 89.5956
3.6 23.8799
3.8 -64.8401
4 -27.0733
4.2 70.7463
4.4 89.2948
4.6 23.2291
4.8 -65.2142
5 -27.2196
5.2 70.8001
5.4 88.9983
5.6 22.7783
5.8 -65.4845
6 -27.3732
6.2 70.7836
6.4 88.7801
6.6 22.496
6.8 -65.6543
7 -27.4889
7.2 70.7455
7.4 88.6396
7.6 22.3297
7.8 -65.7519
8 -27.5616
