start_probe,end_probe,dx_mm,dt_ms,cv_m_per_s
0,1,3.000000,6.217000,0.48254785
1,2,5.000000,10.560200,0.47347588
2,3,5.000000,10.577800,0.47268808
3,4,3.000000,6.342800,0.47297723
