Dimension,Solver,N_lower,N_higher,rate_Vm,rate_u1,rate_u2
1D,implicit,10,20,1.9881742307177717,1.9555268007655504,1.9205944505265493
1D,implicit,20,40,2.0015924060328443,1.9899638641508424,1.9692717441335448
1D,implicit,40,80,2.001016109539277,1.9973276103162194,1.985902675137669
2D,implicit,10,20,1.8815199928987876,2.5996994848714725,3.208460992983212
2D,implicit,20,40,1.9720980871267075,1.4019025651942207,1.4580660855423024
2D,implicit,40,80,1.9948260204938797,1.918171129807199,1.9247402646714433
3D,implicit,10,20,1.847475035521835,1.67755348764211,1.7058272032610227
3D,implicit,20,40,1.9634628010727397,1.9247180624656548,1.9313949250280733
3D,implicit,40,80,1.9927713090017871,1.9859549487680381,1.9871128046426412
