# time  numeric_E1  refQ6_E1  refQ12_E1  refQ24_E1  refQ48_E1  refQ96_E1  errQ6_E1  errQ12_E1  errQ24_E1  errQ48_E1  errQ96_E1  deltaQuadratureQ6_Q96_E1  deltaQuadratureQ12_Q96_E1  deltaQuadratureQ24_Q96_E1  deltaQuadratureQ48_Q96_E1  numeric_E2  refQ6_E2  refQ12_E2  refQ24_E2  refQ48_E2  refQ96_E2  errQ6_E2  errQ12_E2  errQ24_E2  errQ48_E2  errQ96_E2  deltaQuadratureQ6_Q96_E2  deltaQuadratureQ12_Q96_E2  deltaQuadratureQ24_Q96_E2  deltaQuadratureQ48_Q96_E2  numeric_E3  refQ6_E3  refQ12_E3  refQ24_E3  refQ48_E3  refQ96_E3  errQ6_E3  errQ12_E3  errQ24_E3  errQ48_E3  errQ96_E3  deltaQuadratureQ6_Q96_E3  deltaQuadratureQ12_Q96_E3  deltaQuadratureQ24_Q96_E3  deltaQuadratureQ48_Q96_E3  numeric_E4  refQ6_E4  refQ12_E4  refQ24_E4  refQ48_E4  refQ96_E4  errQ6_E4  errQ12_E4  errQ24_E4  errQ48_E4  errQ96_E4  deltaQuadratureQ6_Q96_E4  deltaQuadratureQ12_Q96_E4  deltaQuadratureQ24_Q96_E4  deltaQuadratureQ48_Q96_E4  numeric_E5  refQ6_E5  refQ12_E5  refQ24_E5  refQ48_E5  refQ96_E5  errQ6_E5  errQ12_E5  errQ24_E5  errQ48_E5  errQ96_E5  deltaQuadratureQ6_Q96_E5  deltaQuadratureQ12_Q96_E5  deltaQuadratureQ24_Q96_E5  deltaQuadratureQ48_Q96_E5
5.60538000e-04  -2.47263111e-10  1.50169631e-17  -6.03323640e-18  1.47660526e-18  3.35644754e-18  3.50111142e-18  2.47263126e-10  2.47263105e-10  2.47263113e-10  2.47263114e-10  2.47263115e-10  1.15158517e-17  9.53434782e-18  2.02450616e-18  1.44663878e-19  -7.87970314e-11  -1.69104123e-17  6.64405590e-18  -1.27877836e-18  -3.09487953e-18  -3.44326551e-18  7.87970145e-11  7.87970380e-11  7.87970301e-11  7.87970283e-11  7.87970280e-11  1.34671468e-17  1.00873214e-17  2.16448715e-18  3.48385977e-19  -2.28943454e-03  -2.87268696e-03  -2.29469199e-03  -2.29538915e-03  -2.29538915e-03  -2.29538915e-03  5.83252423e-04  5.25744873e-06  5.95461261e-06  5.95461002e-06  5.95461002e-06  5.77297813e-04  6.97161296e-07  2.59069372e-12  1.17961196e-16  3.52385389e-03  3.57780972e-03  3.54774158e-03  3.54774785e-03  3.54774785e-03  3.54774785e-03  5.39558324e-05  2.38876871e-05  2.38939548e-05  2.38939548e-05  2.38939548e-05  3.00618776e-05  6.26770517e-09  1.68701858e-16  4.85722573e-17  -1.04205537e-03  -1.07969659e-03  -1.04970238e-03  -1.04970241e-03  -1.04970241e-03  -1.04970241e-03  3.76412240e-05  7.64701431e-06  7.64704417e-06  7.64704417e-06  7.64704417e-06  2.99941798e-05  2.98534875e-11  1.86482774e-17  4.33680869e-19
1.12107600e-03  -4.94483008e-10  1.50211690e-17  -6.03492615e-18  1.47701881e-18  3.35738759e-18  3.50209198e-18  4.94483023e-10  4.94483002e-10  4.94483010e-10  4.94483012e-10  4.94483012e-10  1.15190770e-17  9.53701813e-18  2.02507317e-18  1.44704394e-19  -1.58377970e-10  -1.69151485e-17  6.64591671e-18  -1.27913651e-18  -3.09574632e-18  -3.44422987e-18  1.58377954e-10  1.58377977e-10  1.58377969e-10  1.58377967e-10  1.58377967e-10  1.34709186e-17  1.00901466e-17  2.16509336e-18  3.48483551e-19  -2.29007879e-03  -2.87349152e-03  -2.29533467e-03  -2.29603203e-03  -2.29603202e-03  -2.29603202e-03  5.83412732e-04  5.25587669e-06  5.95323583e-06  5.95323324e-06  5.95323324e-06  5.77459499e-04  6.97356552e-07  2.59141883e-12  1.17961196e-16  3.52484744e-03  3.57881177e-03  3.54873520e-03  3.54874147e-03  3.54874147e-03  3.54874147e-03  5.39643318e-05  2.38877653e-05  2.38940347e-05  2.38940347e-05  2.38940347e-05  3.00702971e-05  6.26946058e-09  1.68701858e-16  4.85722573e-17  -1.04234911e-03  -1.07999899e-03  -1.04999638e-03  -1.04999641e-03  -1.04999641e-03  -1.04999641e-03  3.76498754e-05  7.64726510e-06  7.64729496e-06  7.64729496e-06  7.64729496e-06  3.00025804e-05  2.98618487e-11  1.86482774e-17  4.33680869e-19
1.68161400e-03  -7.41625343e-10  1.50253736e-17  -6.03661542e-18  1.47743226e-18  3.35832738e-18  3.50307228e-18  7.41625358e-10  7.41625337e-10  7.41625344e-10  7.41625346e-10  7.41625346e-10  1.15223014e-17  9.53968770e-18  2.02564002e-18  1.44744899e-19  -2.38991531e-10  -1.69198833e-17  6.64777701e-18  -1.27949456e-18  -3.09661287e-18  -3.44519396e-18  2.38991515e-10  2.38991538e-10  2.38991530e-10  2.38991528e-10  2.38991528e-10  1.34746893e-17  1.00929710e-17  2.16569941e-18  3.48581097e-19  -2.29072290e-03  -2.87429586e-03  -2.29597717e-03  -2.29667472e-03  -2.29667472e-03  -2.29667472e-03  5.83572960e-04  5.25426986e-06  5.95182420e-06  5.95182161e-06  5.95182161e-06  5.77621139e-04  6.97551753e-07  2.59214438e-12  1.17961196e-16  3.52584074e-03  3.57981354e-03  3.54972855e-03  3.54973482e-03  3.54973482e-03  3.54973482e-03  5.39727959e-05  2.38878104e-05  2.38940816e-05  2.38940816e-05  2.38940816e-05  3.00787143e-05  6.27121550e-09  1.68701858e-16  4.85722573e-17  -1.04264278e-03  -1.08030129e-03  -1.05029029e-03  -1.05029032e-03  -1.05029032e-03  -1.05029032e-03  3.76585123e-05  7.64750385e-06  7.64753373e-06  7.64753373e-06  7.64753373e-06  3.00109786e-05  2.98702074e-11  1.86482774e-17  4.33680869e-19
2.24215200e-03  -9.88668043e-10  1.50295771e-17  -6.03830422e-18  1.47784558e-18  3.35926690e-18  3.50405229e-18  9.88668058e-10  9.88668037e-10  9.88668045e-10  9.88668047e-10  9.88668047e-10  1.15255248e-17  9.54235651e-18  2.02620671e-18  1.44785393e-19  -3.20710821e-10  -1.69246168e-17  6.64963679e-18  -1.27985251e-18  -3.09747917e-18  -3.44615779e-18  3.20710804e-10  3.20710827e-10  3.20710819e-10  3.20710818e-10  3.20710817e-10  1.34784590e-17  1.00957946e-17  2.16630528e-18  3.48678616e-19  -2.29136685e-03  -2.87509997e-03  -2.29661949e-03  -2.29731724e-03  -2.29731724e-03  -2.29731724e-03  5.83733121e-04  5.25264033e-06  5.95038983e-06  5.95038723e-06  5.95038723e-06  5.77782734e-04  6.97746899e-07  2.59286950e-12  1.18394877e-16  3.52683378e-03  3.58081502e-03  3.55072162e-03  3.55072789e-03  3.55072789e-03  3.55072789e-03  5.39812450e-05  2.38878430e-05  2.38941159e-05  2.38941159e-05  2.38941159e-05  3.00871291e-05  6.27296994e-09  1.68701858e-16  4.85722573e-17  -1.04293638e-03  -1.08060352e-03  -1.05058411e-03  -1.05058414e-03  -1.05058414e-03  -1.05058414e-03  3.76671408e-05  7.64773644e-06  7.64776632e-06  7.64776632e-06  7.64776632e-06  3.00193745e-05  2.98785638e-11  1.86482774e-17  4.33680869e-19
2.80269000e-03  -1.23559602e-09  1.50337794e-17  -6.03999255e-18  1.47825879e-18  3.36020616e-18  3.50503204e-18  1.23559603e-09  1.23559601e-09  1.23559602e-09  1.23559602e-09  1.23559602e-09  1.15287474e-17  9.54502458e-18  2.02677324e-18  1.44825875e-19  -4.03551248e-10  -1.69293489e-17  6.65149605e-18  -1.28021036e-18  -3.09834524e-18  -3.44712135e-18  4.03551231e-10  4.03551255e-10  4.03551247e-10  4.03551245e-10  4.03551245e-10  1.34822276e-17  1.00986174e-17  2.16691099e-18  3.48776107e-19  -2.29201064e-03  -2.87590386e-03  -2.29726163e-03  -2.29795957e-03  -2.29795957e-03  -2.29795957e-03  5.83893218e-04  5.25099218e-06  5.94893676e-06  5.94893417e-06  5.94893417e-06  5.77944283e-04  6.97941992e-07  2.59359461e-12  1.18394877e-16  3.52782654e-03  3.58181623e-03  3.55171441e-03  3.55172069e-03  3.55172069e-03  3.55172069e-03  5.39896860e-05  2.38878698e-05  2.38941445e-05  2.38941445e-05  2.38941445e-05  3.00955415e-05  6.27472388e-09  1.69135539e-16  4.85722573e-17  -1.04322990e-03  -1.08090566e-03  -1.05087786e-03  -1.05087789e-03  -1.05087789e-03  -1.05087789e-03  3.76757627e-05  7.64796482e-06  7.64799470e-06  7.64799470e-06  7.64799470e-06  3.00277680e-05  2.98869180e-11  1.86482774e-17  4.33680869e-19
3.36322800e-03  -1.48239818e-09  1.50379806e-17  -6.04168040e-18  1.47867189e-18  3.36114516e-18  3.50601151e-18  1.48239819e-09  1.48239817e-09  1.48239818e-09  1.48239818e-09  1.48239818e-09  1.15319691e-17  9.54769191e-18  2.02733962e-18  1.44866347e-19  -4.87509240e-10  -1.69340798e-17  6.65335479e-18  -1.28056811e-18  -3.09921106e-18  -3.44808463e-18  4.87509223e-10  4.87509246e-10  4.87509238e-10  4.87509236e-10  4.87509236e-10  1.34859952e-17  1.01014394e-17  2.16751652e-18  3.48873571e-19  -2.29265426e-03  -2.87670752e-03  -2.29790359e-03  -2.29860173e-03  -2.29860173e-03  -2.29860173e-03  5.84053252e-04  5.24932677e-06  5.94746639e-06  5.94746379e-06  5.94746379e-06  5.78105788e-04  6.98137029e-07  2.59431929e-12  1.18394877e-16  3.52881904e-03  3.58281716e-03  3.55270693e-03  3.55271320e-03  3.55271320e-03  3.55271320e-03  5.39981211e-05  2.38878930e-05  2.38941695e-05  2.38941695e-05  2.38941695e-05  3.01039516e-05  6.27647733e-09  1.69135539e-16  4.85722573e-17  -1.04352334e-03  -1.08120771e-03  -1.05117153e-03  -1.05117156e-03  -1.05117156e-03  -1.05117156e-03  3.76843787e-05  7.64818965e-06  7.64821954e-06  7.64821954e-06  7.64821954e-06  3.00361591e-05  2.98952699e-11  1.86482774e-17  4.33680869e-19
3.92376600e-03  -1.72906432e-09  1.50421806e-17  -6.04336779e-18  1.47908486e-18  3.36208389e-18  3.50699070e-18  1.72906433e-09  1.72906431e-09  1.72906432e-09  1.72906432e-09  1.72906432e-09  1.15351899e-17  9.55035849e-18  2.02790584e-18  1.44906806e-19  -5.72574561e-10  -1.69388093e-17  6.65521301e-18  -1.28092576e-18  -3.10007664e-18  -3.44904765e-18  5.72574544e-10  5.72574567e-10  5.72574559e-10  5.72574558e-10  5.72574557e-10  1.34897617e-17  1.01042607e-17  2.16812189e-18  3.48971008e-19  -2.29329773e-03  -2.87751095e-03  -2.29854537e-03  -2.29924371e-03  -2.29924371e-03  -2.29924371e-03  5.84213224e-04  5.24764459e-06  5.94597920e-06  5.94597660e-06  5.94597660e-06  5.78267248e-04  6.98332012e-07  2.59504397e-12  1.18394877e-16  3.52981125e-03  3.58381780e-03  3.55369917e-03  3.55370544e-03  3.55370544e-03  3.55370544e-03  5.40065510e-05  2.38879134e-05  2.38941916e-05  2.38941916e-05  2.38941916e-05  3.01123594e-05  6.27823029e-09  1.68701858e-16  4.85722573e-17  -1.04381670e-03  -1.08150969e-03  -1.05146511e-03  -1.05146514e-03  -1.05146514e-03  -1.05146514e-03  3.76929890e-05  7.64841116e-06  7.64844107e-06  7.64844107e-06  7.64844107e-06  3.00445479e-05  2.99036193e-11  1.86482774e-17  4.33680869e-19
4.48430400e-03  -1.97558450e-09  1.50463793e-17  -6.04505470e-18  1.47949773e-18  3.36302237e-18  3.50796962e-18  1.97558452e-09  1.97558450e-09  1.97558450e-09  1.97558450e-09  1.97558451e-09  1.15384097e-17  9.55302433e-18  2.02847189e-18  1.44947255e-19  -6.58735760e-10  -1.69435375e-17  6.65707071e-18  -1.28128331e-18  -3.10094198e-18  -3.45001040e-18  6.58735743e-10  6.58735767e-10  6.58735759e-10  6.58735757e-10  6.58735757e-10  1.34935271e-17  1.01070811e-17  2.16872709e-18  3.49068418e-19  -2.29394103e-03  -2.87831417e-03  -2.29918698e-03  -2.29988551e-03  -2.29988551e-03  -2.29988551e-03  5.84373135e-04  5.24594585e-06  5.94447539e-06  5.94447279e-06  5.94447279e-06  5.78428662e-04  6.98526941e-07  2.59576822e-12  1.18394877e-16  3.53080319e-03  3.58481817e-03  3.55469113e-03  3.55469741e-03  3.55469741e-03  3.55469741e-03  5.40149760e-05  2.38879313e-05  2.38942113e-05  2.38942113e-05  2.38942113e-05  3.01207648e-05  6.27998276e-09  1.69135539e-16  4.90059382e-17  -1.04410998e-03  -1.08181157e-03  -1.05175861e-03  -1.05175864e-03  -1.05175864e-03  -1.05175864e-03  3.77015938e-05  7.64862944e-06  7.64865935e-06  7.64865935e-06  7.64865935e-06  3.00529344e-05  2.99119664e-11  1.86482774e-17  4.33680869e-19
5.04484200e-03  -2.22194965e-09  1.50505770e-17  -6.04674114e-18  1.47991048e-18  3.36396058e-18  3.50894827e-18  2.22194966e-09  2.22194964e-09  2.22194965e-09  2.22194965e-09  2.22194965e-09  1.15416287e-17  9.55568942e-18  2.02903780e-18  1.44987692e-19  -7.45980028e-10  -1.69482644e-17  6.65892789e-18  -1.28164076e-18  -3.10180708e-18  -3.45097288e-18  7.45980011e-10  7.45980034e-10  7.45980026e-10  7.45980025e-10  7.45980024e-10  1.34972915e-17  1.01099008e-17  2.16933212e-18  3.49165801e-19  -2.29458417e-03  -2.87911716e-03  -2.29982840e-03  -2.30052713e-03  -2.30052712e-03  -2.30052712e-03  5.84532984e-04  5.24423064e-06  5.94295505e-06  5.94295246e-06  5.94295246e-06  5.78590031e-04  6.98721815e-07  2.59649247e-12  1.18394877e-16  3.53179486e-03  3.58581826e-03  3.55568281e-03  3.55568909e-03  3.55568909e-03  3.55568909e-03  5.40233962e-05  2.38879467e-05  2.38942284e-05  2.38942284e-05  2.38942284e-05  3.01291678e-05  6.28173474e-09  1.69135539e-16  4.85722573e-17  -1.04440318e-03  -1.08211337e-03  -1.05205203e-03  -1.05205206e-03  -1.05205206e-03  -1.05205206e-03  3.77101930e-05  7.64884452e-06  7.64887444e-06  7.64887444e-06  7.64887444e-06  3.00613185e-05  2.99203115e-11  1.86482774e-17  4.33680869e-19
5.60538000e-03  -2.46815059e-09  1.50547734e-17  -6.04842712e-18  1.48032311e-18  3.36489853e-18  3.50992665e-18  2.46815060e-09  2.46815058e-09  2.46815059e-09  2.46815059e-09  2.46815059e-09  1.15448468e-17  9.55835377e-18  2.02960354e-18  1.45028118e-19  -8.34294647e-10  -1.69529900e-17  6.66078455e-18  -1.28199811e-18  -3.10267193e-18  -3.45193509e-18  8.34294630e-10  8.34294654e-10  8.34294646e-10  8.34294644e-10  8.34294644e-10  1.35010549e-17  1.01127196e-17  2.16993698e-18  3.49263157e-19  -2.29522715e-03  -2.87991992e-03  -2.30046965e-03  -2.30116857e-03  -2.30116857e-03  -2.30116857e-03  5.84692771e-04  5.24249903e-06  5.94141826e-06  5.94141567e-06  5.94141567e-06  5.78751356e-04  6.98916635e-07  2.59721628e-12  1.18394877e-16  3.53278626e-03  3.58681807e-03  3.55667422e-03  3.55668050e-03  3.55668050e-03  3.55668050e-03  5.40318116e-05  2.38879595e-05  2.38942430e-05  2.38942430e-05  2.38942430e-05  3.01375685e-05  6.28348624e-09  1.69135539e-16  4.85722573e-17  -1.04469631e-03  -1.08241509e-03  -1.05234536e-03  -1.05234539e-03  -1.05234539e-03  -1.05234539e-03  3.77187867e-05  7.64905642e-06  7.64908635e-06  7.64908635e-06  7.64908635e-06  3.00697003e-05  2.99286537e-11  1.86482774e-17  4.33680869e-19
