# time  numeric_E1  refQ6_E1  refQ12_E1  refQ24_E1  refQ48_E1  refQ96_E1  errQ6_E1  errQ12_E1  errQ24_E1  errQ48_E1  errQ96_E1  deltaQuadratureQ6_Q96_E1  deltaQuadratureQ12_Q96_E1  deltaQuadratureQ24_Q96_E1  deltaQuadratureQ48_Q96_E1  numeric_E2  refQ6_E2  refQ12_E2  refQ24_E2  refQ48_E2  refQ96_E2  errQ6_E2  errQ12_E2  errQ24_E2  errQ48_E2  errQ96_E2  deltaQuadratureQ6_Q96_E2  deltaQuadratureQ12_Q96_E2  deltaQuadratureQ24_Q96_E2  deltaQuadratureQ48_Q96_E2  numeric_E3  refQ6_E3  refQ12_E3  refQ24_E3  refQ48_E3  refQ96_E3  errQ6_E3  errQ12_E3  errQ24_E3  errQ48_E3  errQ96_E3  deltaQuadratureQ6_Q96_E3  deltaQuadratureQ12_Q96_E3  deltaQuadratureQ24_Q96_E3  deltaQuadratureQ48_Q96_E3  numeric_E4  refQ6_E4  refQ12_E4  refQ24_E4  refQ48_E4  refQ96_E4  errQ6_E4  errQ12_E4  errQ24_E4  errQ48_E4  errQ96_E4  deltaQuadratureQ6_Q96_E4  deltaQuadratureQ12_Q96_E4  deltaQuadratureQ24_Q96_E4  deltaQuadratureQ48_Q96_E4  numeric_E5  refQ6_E5  refQ12_E5  refQ24_E5  refQ48_E5  refQ96_E5  errQ6_E5  errQ12_E5  errQ24_E5  errQ48_E5  errQ96_E5  deltaQuadratureQ6_Q96_E5  deltaQuadratureQ12_Q96_E5  deltaQuadratureQ24_Q96_E5  deltaQuadratureQ48_Q96_E5
8.92857000e-03  -1.23302550e-07  1.50796284e-17  -6.05841289e-18  1.48276708e-18  3.37045388e-18  3.51572143e-18  1.23302550e-07  1.23302550e-07  1.23302550e-07  1.23302550e-07  1.23302550e-07  1.15639070e-17  9.57413432e-18  2.03295435e-18  1.45267555e-19  -8.33834813e-08  -1.69809789e-17  6.67178131e-18  -1.28411465e-18  -3.10779435e-18  -3.45763413e-18  8.33834813e-08  8.33834813e-08  8.33834813e-08  8.33834813e-08  8.33834813e-08  1.35233447e-17  1.01294154e-17  2.17351948e-18  3.49839780e-19  -2.19875469e-03  -2.88467458e-03  -2.30426766e-03  -2.30496773e-03  -2.30496773e-03  -2.30496773e-03  6.85919893e-04  1.05512965e-04  1.06213038e-04  1.06213036e-04  1.06213036e-04  5.79706857e-04  7.00070526e-07  2.60150408e-12  1.18828558e-16  3.19292406e-03  3.59273980e-03  3.56254618e-03  3.56255247e-03  3.56255247e-03  3.56255247e-03  3.99815740e-04  3.69622122e-04  3.69628416e-04  3.69628416e-04  3.69628416e-04  3.01873248e-05  6.29386008e-09  1.69569220e-16  4.90059382e-17  -9.36303538e-04  -1.08420213e-03  -1.05408275e-03  -1.05408278e-03  -1.05408278e-03  -1.05408278e-03  1.47898591e-04  1.17779216e-04  1.17779246e-04  1.17779246e-04  1.17779246e-04  3.01193445e-05  2.99780650e-11  1.88651178e-17  4.33680869e-19
1.78571400e-02  -2.41044923e-07  1.51462054e-17  -6.08516098e-18  1.48931354e-18  3.38533454e-18  3.53124346e-18  2.41044923e-07  2.41044923e-07  2.41044923e-07  2.41044923e-07  2.41044923e-07  1.16149620e-17  9.61640443e-18  2.04192991e-18  1.45908916e-19  -1.63920394e-07  -1.70559504e-17  6.70123744e-18  -1.28978406e-18  -3.12151536e-18  -3.47289970e-18  1.63920394e-07  1.63920394e-07  1.63920394e-07  1.63920394e-07  1.63920394e-07  1.35830507e-17  1.01741371e-17  2.18311564e-18  3.51384333e-19  -2.20939447e-03  -2.89741051e-03  -2.31444107e-03  -2.31514423e-03  -2.31514423e-03  -2.31514423e-03  6.88016039e-04  1.05046596e-04  1.05749760e-04  1.05749758e-04  1.05749758e-04  5.82266281e-04  7.03161359e-07  2.61299012e-12  1.18828558e-16  3.20841182e-03  3.60860186e-03  3.57827494e-03  3.57828126e-03  3.57828126e-03  3.57828126e-03  4.00190039e-04  3.69863115e-04  3.69869436e-04  3.69869436e-04  3.69869436e-04  3.03206028e-05  6.32164768e-09  1.70436582e-16  4.90059382e-17  -9.40903985e-04  -1.08898892e-03  -1.05873656e-03  -1.05873659e-03  -1.05873659e-03  -1.05873659e-03  1.48084931e-04  1.17832578e-04  1.17832608e-04  1.17832608e-04  1.17832608e-04  3.02523224e-05  3.01104191e-11  1.88651178e-17  4.33680869e-19
2.67857100e-02  -3.51089050e-07  1.52124911e-17  -6.11179200e-18  1.49583136e-18  3.40015008e-18  3.54669755e-18  3.51089050e-07  3.51089050e-07  3.51089050e-07  3.51089050e-07  3.51089050e-07  1.16657936e-17  9.65848955e-18  2.05086619e-18  1.46547470e-19  -2.40375422e-07  -1.71305939e-17  6.73056465e-18  -1.29542866e-18  -3.13517633e-18  -3.48809845e-18  2.40375422e-07  2.40375422e-07  2.40375422e-07  2.40375422e-07  2.40375422e-07  1.36424954e-17  1.02186631e-17  2.19266980e-18  3.52922128e-19  -2.22002507e-03  -2.91009070e-03  -2.32456996e-03  -2.32527620e-03  -2.32527620e-03  -2.32527620e-03  6.90065634e-04  1.04544891e-04  1.05251132e-04  1.05251130e-04  1.05251130e-04  5.84814504e-04  7.06238666e-07  2.62442542e-12  1.19695920e-16  3.22385777e-03  3.62439450e-03  3.59393485e-03  3.59394120e-03  3.59394120e-03  3.59394120e-03  4.00536736e-04  3.70077089e-04  3.70083438e-04  3.70083438e-04  3.70083438e-04  3.04532975e-05  6.34931366e-09  1.71303943e-16  4.94396191e-17  -9.45491011e-04  -1.09375475e-03  -1.06337000e-03  -1.06337003e-03  -1.06337003e-03  -1.06337003e-03  1.48263742e-04  1.17878994e-04  1.17879024e-04  1.17879024e-04  1.17879024e-04  3.03847183e-05  3.02421939e-11  1.88651178e-17  4.33680869e-19
3.57142800e-02  -4.52450723e-07  1.52784892e-17  -6.13830749e-18  1.50232089e-18  3.41490134e-18  3.56208459e-18  4.52450723e-07  4.52450723e-07  4.52450723e-07  4.52450723e-07  4.52450723e-07  1.17164046e-17  9.70039208e-18  2.05976370e-18  1.47183254e-19  -3.12054651e-07  -1.72049135e-17  6.75976463e-18  -1.30104876e-18  -3.14877802e-18  -3.50323127e-18  3.12054651e-07  3.12054651e-07  3.12054651e-07  3.12054651e-07  3.12054651e-07  1.37016822e-17  1.02629959e-17  2.20218251e-18  3.54453250e-19  -2.23064483e-03  -2.92271588e-03  -2.33465491e-03  -2.33536422e-03  -2.33536421e-03  -2.33536421e-03  6.92071058e-04  1.04010083e-04  1.04719388e-04  1.04719386e-04  1.04719386e-04  5.87351672e-04  7.09302622e-07  2.63581127e-12  1.20129601e-16  3.23925964e-03  3.64011863e-03  3.60952683e-03  3.60953321e-03  3.60953321e-03  3.60953321e-03  4.00858987e-04  3.70267194e-04  3.70273571e-04  3.70273571e-04  3.70273571e-04  3.05854165e-05  6.37685961e-09  1.71737624e-16  4.94396191e-17  -9.50063411e-04  -1.09849991e-03  -1.06798334e-03  -1.06798337e-03  -1.06798337e-03  -1.06798337e-03  1.48436503e-04  1.17919933e-04  1.17919964e-04  1.17919964e-04  1.17919964e-04  3.05165398e-05  3.03733974e-11  1.88651178e-17  4.33680869e-19
4.46428500e-02  -5.44535632e-07  1.53442034e-17  -6.16470893e-18  1.50878252e-18  3.42958915e-18  3.57740545e-18  5.44535632e-07  5.44535632e-07  5.44535632e-07  5.44535632e-07  5.44535632e-07  1.17667980e-17  9.74211438e-18  2.06862293e-18  1.47816303e-19  -3.78447879e-07  -1.72789135e-17  6.78883902e-18  -1.30664470e-18  -3.16232121e-18  -3.51829900e-18  3.78447879e-07  3.78447879e-07  3.78447879e-07  3.78447879e-07  3.78447879e-07  1.37606145e-17  1.03071380e-17  2.21165430e-18  3.55977787e-19  -2.24125242e-03  -2.93528676e-03  -2.34469648e-03  -2.34540884e-03  -2.34540883e-03  -2.34540883e-03  6.94034342e-04  1.03444062e-04  1.04156418e-04  1.04156415e-04  1.04156415e-04  5.89877927e-04  7.12353400e-07  2.64714856e-12  1.20563282e-16  3.25461761e-03  3.65577512e-03  3.62505175e-03  3.62505815e-03  3.62505815e-03  3.62505815e-03  4.01157505e-04  3.70434134e-04  3.70440538e-04  3.70440538e-04  3.70440538e-04  3.07169673e-05  6.40428709e-09  1.72171305e-16  4.94396191e-17  -9.54620700e-04  -1.10322467e-03  -1.07257684e-03  -1.07257687e-03  -1.07257687e-03  -1.07257687e-03  1.48603966e-04  1.17956141e-04  1.17956172e-04  1.17956172e-04  1.17956172e-04  3.06477943e-05  3.05040359e-11  1.90819582e-17  6.50521303e-19
5.35714200e-02  -6.26882545e-07  1.54096374e-17  -6.19099778e-18  1.51521659e-18  3.44421433e-18  3.59266098e-18  6.26882545e-07  6.26882545e-07  6.26882545e-07  6.26882545e-07  6.26882545e-07  1.18169764e-17  9.78365876e-18  2.07744439e-18  1.48446652e-19  -4.39109318e-07  -1.73525978e-17  6.81778942e-18  -1.31221677e-18  -3.17580665e-18  -3.53330247e-18  4.39109318e-07  4.39109318e-07  4.39109318e-07  4.39109318e-07  4.39109318e-07  1.38192954e-17  1.03510919e-17  2.22108571e-18  3.57495823e-19  -2.25184664e-03  -2.94780403e-03  -2.35469523e-03  -2.35541062e-03  -2.35541062e-03  -2.35541062e-03  6.95957395e-04  1.02848595e-04  1.03563989e-04  1.03563986e-04  1.03563986e-04  5.92393409e-04  7.15391167e-07  2.65843684e-12  1.20996962e-16  3.26993265e-03  3.67136485e-03  3.64051046e-03  3.64051689e-03  3.64051689e-03  3.64051689e-03  4.01432196e-04  3.70577808e-04  3.70584239e-04  3.70584239e-04  3.70584239e-04  3.08479570e-05  6.43159760e-09  1.73038667e-16  4.98732999e-17  -9.59162629e-04  -1.10792927e-03  -1.07715075e-03  -1.07715078e-03  -1.07715078e-03  -1.07715078e-03  1.48766641e-04  1.17988122e-04  1.17988152e-04  1.17988152e-04  1.17988152e-04  3.07784891e-05  3.06341179e-11  1.90819582e-17  4.33680869e-19
6.24999900e-02  -6.99077121e-07  1.54747947e-17  -6.21717547e-18  1.52162345e-18  3.45877766e-18  3.60785200e-18  6.99077121e-07  6.99077121e-07  6.99077121e-07  6.99077121e-07  6.99077121e-07  1.18669427e-17  9.82502747e-18  2.08622855e-18  1.49074336e-19  -4.93617888e-07  -1.74259707e-17  6.84661740e-18  -1.31776528e-18  -3.18923506e-18  -3.54824250e-18  4.93617888e-07  4.93617888e-07  4.93617888e-07  4.93617888e-07  4.93617888e-07  1.38777282e-17  1.03948599e-17  2.23047723e-18  3.59007439e-19  -2.26242631e-03  -2.96026837e-03  -2.36465170e-03  -2.36537012e-03  -2.36537012e-03  -2.36537012e-03  6.97842062e-04  1.02225392e-04  1.02943811e-04  1.02943808e-04  1.02943808e-04  5.94898254e-04  7.18416090e-07  2.66967741e-12  1.21864324e-16  3.28520595e-03  3.68688866e-03  3.65590380e-03  3.65591026e-03  3.65591026e-03  3.65591026e-03  4.01682706e-04  3.70697854e-04  3.70704313e-04  3.70704313e-04  3.70704313e-04  3.09783929e-05  6.45879263e-09  1.73906028e-16  4.98732999e-17  -9.63689025e-04  -1.11261398e-03  -1.08170532e-03  -1.08170535e-03  -1.08170535e-03  -1.08170535e-03  1.48924956e-04  1.18016294e-04  1.18016325e-04  1.18016325e-04  1.18016325e-04  3.09086313e-05  3.07636494e-11  1.92987987e-17  6.50521303e-19
7.14285600e-02  -7.60723017e-07  1.55396788e-17  -6.24324341e-18  1.52800345e-18  3.47327994e-18  3.62297933e-18  7.60723017e-07  7.60723017e-07  7.60723017e-07  7.60723017e-07  7.60723017e-07  1.19166995e-17  9.86622273e-18  2.09497588e-18  1.49699389e-19  -5.41563994e-07  -1.74990358e-17  6.87532451e-18  -1.32329052e-18  -3.20260718e-18  -3.56311989e-18  5.41563994e-07  5.41563994e-07  5.41563994e-07  5.41563994e-07  5.41563994e-07  1.39359160e-17  1.04384444e-17  2.23982937e-18  3.60512718e-19  -2.27299030e-03  -2.97268045e-03  -2.37456643e-03  -2.37528786e-03  -2.37528785e-03  -2.37528785e-03  6.99690151e-04  1.01576125e-04  1.02297556e-04  1.02297554e-04  1.02297554e-04  5.97392597e-04  7.21428330e-07  2.68087115e-12  1.22298005e-16  3.30043878e-03  3.70234737e-03  3.67123261e-03  3.67123909e-03  3.67123909e-03  3.67123909e-03  4.01908599e-04  3.70793831e-04  3.70800317e-04  3.70800317e-04  3.70800317e-04  3.11082819e-05  6.48587364e-09  1.74773390e-16  5.03069808e-17  -9.68199742e-04  -1.11727905e-03  -1.08624079e-03  -1.08624082e-03  -1.08624082e-03  -1.08624082e-03  1.49079306e-04  1.18041048e-04  1.18041079e-04  1.18041079e-04  1.18041079e-04  3.10382277e-05  3.08926381e-11  1.95156391e-17  6.50521303e-19
8.03571300e-02  -8.11432223e-07  1.56042932e-17  -6.26920295e-18  1.53435692e-18  3.48772191e-18  3.63804375e-18  8.11432223e-07  8.11432223e-07  8.11432223e-07  8.11432223e-07  8.11432223e-07  1.19662494e-17  9.90724670e-18  2.10368683e-18  1.50321842e-19  -5.82545117e-07  -1.75717972e-17  6.90391226e-18  -1.32879279e-18  -3.21592369e-18  -3.57793542e-18  5.82545117e-07  5.82545117e-07  5.82545117e-07  5.82545117e-07  5.82545117e-07  1.39938618e-17  1.04818477e-17  2.24914263e-18  3.62011738e-19  -2.28353749e-03  -2.98504092e-03  -2.38443992e-03  -2.38516435e-03  -2.38516435e-03  -2.38516435e-03  7.01503431e-04  1.00902434e-04  1.01626865e-04  1.01626862e-04  1.01626862e-04  5.99876569e-04  7.24428044e-07  2.69201848e-12  1.22298005e-16  3.31563240e-03  3.71774181e-03  3.68649767e-03  3.68650418e-03  3.68650418e-03  3.68650418e-03  4.02109417e-04  3.70865274e-04  3.70871787e-04  3.70871787e-04  3.70871787e-04  3.12376308e-05  6.51284204e-09  1.75207071e-16  5.03069808e-17  -9.72694644e-04  -1.12192472e-03  -1.09075740e-03  -1.09075743e-03  -1.09075743e-03  -1.09075743e-03  1.49230075e-04  1.18062759e-04  1.18062790e-04  1.18062790e-04  1.18062790e-04  3.11672854e-05  3.10210904e-11  1.92987987e-17  4.33680869e-19
8.92857000e-02  -8.50821809e-07  1.56686410e-17  -6.29505543e-18  1.54068419e-18  3.50210433e-18  3.65304606e-18  8.50821809e-07  8.50821809e-07  8.50821809e-07  8.50821809e-07  8.50821809e-07  1.20155950e-17  9.94810149e-18  2.11236187e-18  1.50941728e-19  -6.16164307e-07  -1.76442585e-17  6.93238212e-18  -1.33427237e-18  -3.22918528e-18  -3.59268986e-18  6.16164306e-07  6.16164307e-07  6.16164307e-07  6.16164307e-07  6.16164307e-07  1.40515687e-17  1.05250720e-17  2.25841749e-18  3.63504576e-19  -2.29406678e-03  -2.99735042e-03  -2.39427271e-03  -2.39500012e-03  -2.39500012e-03  -2.39500012e-03  7.03283639e-04  1.00205927e-04  1.00933345e-04  1.00933342e-04  1.00933342e-04  6.02350296e-04  7.27415389e-07  2.70311941e-12  1.23165367e-16  3.33078807e-03  3.73307277e-03  3.70169979e-03  3.70170632e-03  3.70170632e-03  3.70170632e-03  4.02284701e-04  3.70911715e-04  3.70918255e-04  3.70918255e-04  3.70918255e-04  3.13664463e-05  6.53969923e-09  1.76074433e-16  5.07406617e-17  -9.77173595e-04  -1.12655123e-03  -1.09525539e-03  -1.09525542e-03  -1.09525542e-03  -1.09525542e-03  1.49377636e-04  1.18081794e-04  1.18081825e-04  1.18081825e-04  1.18081825e-04  3.12958108e-05  3.11490128e-11  1.95156391e-17  4.33680869e-19
