Dimension,Solver,N_lower,N_higher,rate_max_Linf_err_ref,rate_mean_Linf_err_ref,rate_max_Linf_delta_ref,rate_mean_Linf_delta_ref
3D,implicit,10,20,1.9659314172937778,1.9927256262658137,-0.0018819025160352232,-0.0018816513850077293
3D,implicit,20,40,1.9905121328608564,1.9974094682003158,-0.000335469875843656,-0.0003354887391395011
3D,implicit,40,80,1.9975037106147049,1.9992737594414336,5.020141260313584e-05,5.0019276747970416e-05
