Manufactured pseudo-ECG summary
samples 1427
dimension 3D
qChecks 6 12 24 48
qReference 96
Electrode  L1_err_ref  L2_err_ref  Linf_err_ref  L1_err_q6  L2_err_q6  Linf_err_q6  L1_delta_q6_ref  L2_delta_q6_ref  Linf_delta_q6_ref  L1_err_q12  L2_err_q12  Linf_err_q12  L1_delta_q12_ref  L2_delta_q12_ref  Linf_delta_q12_ref  L1_err_q24  L2_err_q24  Linf_err_q24  L1_delta_q24_ref  L2_delta_q24_ref  Linf_delta_q24_ref  L1_err_q48  L2_err_q48  Linf_err_q48  L1_delta_q48_ref  L2_delta_q48_ref  Linf_delta_q48_ref
E1 5.57685e-09 6.07961e-09 8.3445e-09 5.57685e-09 6.07961e-09 8.3445e-09 1.20708e-17 1.2075e-17 1.26116e-17 5.57685e-09 6.07961e-09 8.3445e-09 9.99384e-18 9.99729e-18 1.04416e-17 5.57685e-09 6.07961e-09 8.3445e-09 2.12207e-18 2.12281e-18 2.21714e-18 5.57685e-09 6.07961e-09 8.3445e-09 1.51636e-19 1.51688e-19 1.58429e-19
E2 4.00478e-09 4.46478e-09 6.18111e-09 4.00478e-09 4.46478e-09 6.18111e-09 1.41162e-17 1.4121e-17 1.47486e-17 4.00478e-09 4.46478e-09 6.18111e-09 1.05735e-17 1.05771e-17 1.10471e-17 4.00478e-09 4.46478e-09 6.18111e-09 2.2688e-18 2.26958e-18 2.37044e-18 4.00478e-09 4.46478e-09 6.18111e-09 3.65176e-19 3.65302e-19 3.81535e-19
E3 1.34901e-06 1.35219e-06 1.47973e-06 0.000606469 0.000606675 0.000633397 0.00060512 0.000605329 0.000632228 6.18246e-07 6.28267e-07 7.8272e-07 7.3076e-07 7.31012e-07 7.63497e-07 1.34901e-06 1.35219e-06 1.47974e-06 2.71555e-12 2.71649e-12 2.8372e-12 1.34901e-06 1.35219e-06 1.47973e-06 1.23681e-16 1.23724e-16 1.29237e-16
E4 5.96419e-06 5.96422e-06 5.98392e-06 3.74749e-05 3.74836e-05 3.88409e-05 3.15107e-05 3.15215e-05 3.29223e-05 5.95762e-06 5.95765e-06 5.97765e-06 6.56977e-09 6.57203e-09 6.86408e-09 5.96419e-06 5.96422e-06 5.98392e-06 1.76885e-16 1.76946e-16 1.84748e-16 5.96419e-06 5.96422e-06 5.98392e-06 5.09248e-17 5.09427e-17 5.33427e-17
E5 1.91338e-06 1.91338e-06 1.91784e-06 3.33531e-05 3.33632e-05 3.47512e-05 3.14397e-05 3.14506e-05 3.28482e-05 1.91335e-06 1.91335e-06 1.91781e-06 3.12922e-11 3.1303e-11 3.26941e-11 1.91338e-06 1.91338e-06 1.91784e-06 1.95548e-17 1.95618e-17 2.05998e-17 1.91338e-06 1.91338e-06 1.91784e-06 4.56474e-19 4.61293e-19 6.50521e-19
