# time  numeric_E1  refQ6_E1  refQ12_E1  refQ24_E1  refQ48_E1  refQ96_E1  errQ6_E1  errQ12_E1  errQ24_E1  errQ48_E1  errQ96_E1  deltaQuadratureQ6_Q96_E1  deltaQuadratureQ12_Q96_E1  deltaQuadratureQ24_Q96_E1  deltaQuadratureQ48_Q96_E1  numeric_E2  refQ6_E2  refQ12_E2  refQ24_E2  refQ48_E2  refQ96_E2  errQ6_E2  errQ12_E2  errQ24_E2  errQ48_E2  errQ96_E2  deltaQuadratureQ6_Q96_E2  deltaQuadratureQ12_Q96_E2  deltaQuadratureQ24_Q96_E2  deltaQuadratureQ48_Q96_E2  numeric_E3  refQ6_E3  refQ12_E3  refQ24_E3  refQ48_E3  refQ96_E3  errQ6_E3  errQ12_E3  errQ24_E3  errQ48_E3  errQ96_E3  deltaQuadratureQ6_Q96_E3  deltaQuadratureQ12_Q96_E3  deltaQuadratureQ24_Q96_E3  deltaQuadratureQ48_Q96_E3  numeric_E4  refQ6_E4  refQ12_E4  refQ24_E4  refQ48_E4  refQ96_E4  errQ6_E4  errQ12_E4  errQ24_E4  errQ48_E4  errQ96_E4  deltaQuadratureQ6_Q96_E4  deltaQuadratureQ12_Q96_E4  deltaQuadratureQ24_Q96_E4  deltaQuadratureQ48_Q96_E4  numeric_E5  refQ6_E5  refQ12_E5  refQ24_E5  refQ48_E5  refQ96_E5  errQ6_E5  errQ12_E5  errQ24_E5  errQ48_E5  errQ96_E5  deltaQuadratureQ6_Q96_E5  deltaQuadratureQ12_Q96_E5  deltaQuadratureQ24_Q96_E5  deltaQuadratureQ48_Q96_E5
2.24215000e-03  -4.75437312e-09  1.50295771e-17  -6.03830422e-18  1.47784558e-18  3.35926690e-18  3.50405229e-18  4.75437314e-09  4.75437311e-09  4.75437312e-09  4.75437312e-09  4.75437312e-09  1.15255248e-17  9.54235650e-18  2.02620671e-18  1.44785393e-19  -2.12870397e-09  -1.69246167e-17  6.64963678e-18  -1.27985251e-18  -3.09747917e-18  -3.44615779e-18  2.12870395e-09  2.12870397e-09  2.12870397e-09  2.12870396e-09  2.12870396e-09  1.34784590e-17  1.00957946e-17  2.16630528e-18  3.48678615e-19  -2.27293645e-03  -2.87509997e-03  -2.29661949e-03  -2.29731724e-03  -2.29731723e-03  -2.29731723e-03  6.02163514e-04  2.36830334e-05  2.43807829e-05  2.43807803e-05  2.43807803e-05  5.77782733e-04  6.97746899e-07  2.59286950e-12  1.18394877e-16  3.45581107e-03  3.58081502e-03  3.55072162e-03  3.55072789e-03  3.55072789e-03  3.55072789e-03  1.25003951e-04  9.49105495e-05  9.49168225e-05  9.49168225e-05  9.49168225e-05  3.00871290e-05  6.27296993e-09  1.68701858e-16  4.85722573e-17  -1.02023099e-03  -1.08060352e-03  -1.05058411e-03  -1.05058414e-03  -1.05058414e-03  -1.05058414e-03  6.03725264e-05  3.03531221e-05  3.03531520e-05  3.03531520e-05  3.03531520e-05  3.00193744e-05  2.98785638e-11  1.86482774e-17  4.33680869e-19
4.48430000e-03  -9.49008644e-09  1.50463793e-17  -6.04505469e-18  1.47949773e-18  3.36302236e-18  3.50796962e-18  9.49008646e-09  9.49008644e-09  9.49008644e-09  9.49008645e-09  9.49008645e-09  1.15384097e-17  9.55302431e-18  2.02847189e-18  1.44947255e-19  -4.28614527e-09  -1.69435375e-17  6.65707069e-18  -1.28128331e-18  -3.10094197e-18  -3.45001039e-18  4.28614525e-09  4.28614527e-09  4.28614526e-09  4.28614526e-09  4.28614526e-09  1.34935271e-17  1.01070811e-17  2.16872708e-18  3.49068418e-19  -2.27552862e-03  -2.87831416e-03  -2.29918697e-03  -2.29988550e-03  -2.29988550e-03  -2.29988550e-03  6.02785542e-04  2.36583542e-05  2.43568838e-05  2.43568812e-05  2.43568812e-05  5.78428661e-04  6.98526939e-07  2.59576865e-12  1.17961196e-16  3.45977623e-03  3.58481816e-03  3.55469112e-03  3.55469740e-03  3.55469740e-03  3.55469740e-03  1.25041931e-04  9.49148861e-05  9.49211661e-05  9.49211661e-05  9.49211661e-05  3.01207647e-05  6.27998275e-09  1.69135539e-16  4.90059382e-17  -1.02140167e-03  -1.08181157e-03  -1.05175861e-03  -1.05175864e-03  -1.05175864e-03  -1.05175864e-03  6.04098966e-05  3.03569323e-05  3.03569622e-05  3.03569622e-05  3.03569622e-05  3.00529343e-05  2.99119664e-11  1.86482774e-17  4.33680869e-19
6.72645000e-03  -1.41983339e-08  1.50631628e-17  -6.05179763e-18  1.48114803e-18  3.36677364e-18  3.51188257e-18  1.41983339e-08  1.41983339e-08  1.41983339e-08  1.41983339e-08  1.41983339e-08  1.15512802e-17  9.56368021e-18  2.03073455e-18  1.45108936e-19  -6.47971497e-09  -1.69624371e-17  6.66449631e-18  -1.28271251e-18  -3.10440091e-18  -3.45385870e-18  6.47971496e-09  6.47971498e-09  6.47971497e-09  6.47971497e-09  6.47971497e-09  1.35085784e-17  1.01183550e-17  2.17114619e-18  3.49457785e-19  -2.27811908e-03  -2.88152477e-03  -2.30175160e-03  -2.30245091e-03  -2.30245090e-03  -2.30245090e-03  6.03405689e-04  2.36325149e-05  2.43318236e-05  2.43318210e-05  2.43318210e-05  5.79073868e-04  6.99306110e-07  2.59866391e-12  1.18394877e-16  3.46373764e-03  3.58881684e-03  3.55865619e-03  3.55866248e-03  3.55866248e-03  3.55866248e-03  1.25079206e-04  9.49185558e-05  9.49248428e-05  9.49248428e-05  9.49248428e-05  3.01543629e-05  6.28698774e-09  1.69135539e-16  4.85722573e-17  -1.02257135e-03  -1.08301827e-03  -1.05293179e-03  -1.05293182e-03  -1.05293182e-03  -1.05293182e-03  6.04469243e-05  3.03604375e-05  3.03604675e-05  3.03604675e-05  3.03604675e-05  3.00864568e-05  2.99453316e-11  1.88651178e-17  4.33680869e-19
8.96860000e-03  -1.88741363e-08  1.50799275e-17  -6.05853307e-18  1.48279649e-18  3.37052074e-18  3.51579118e-18  1.88741363e-08  1.88741363e-08  1.88741363e-08  1.88741363e-08  1.88741363e-08  1.15641364e-17  9.57432425e-18  2.03299468e-18  1.45270437e-19  -8.70986256e-09  -1.69813157e-17  6.67191366e-18  -1.28414013e-18  -3.10785600e-18  -3.45770272e-18  8.70986254e-09  8.70986257e-09  8.70986256e-09  8.70986256e-09  8.70986256e-09  1.35236130e-17  1.01296164e-17  2.17356260e-18  3.49846720e-19  -2.28070770e-03  -2.88473181e-03  -2.30431337e-03  -2.30501345e-03  -2.30501345e-03  -2.30501345e-03  6.04024107e-04  2.36056652e-05  2.43057522e-05  2.43057496e-05  2.43057496e-05  5.79718357e-04  7.00084413e-07  2.60155612e-12  1.18394877e-16  3.46769498e-03  3.59281107e-03  3.56261685e-03  3.56262315e-03  3.56262315e-03  3.56262315e-03  1.25116087e-04  9.49218698e-05  9.49281638e-05  9.49281638e-05  9.49281638e-05  3.01879236e-05  6.29398494e-09  1.69569220e-16  4.90059382e-17  -1.02373994e-03  -1.08422364e-03  -1.05410366e-03  -1.05410369e-03  -1.05410369e-03  -1.05410369e-03  6.04836958e-05  3.03637239e-05  3.03637538e-05  3.03637538e-05  3.03637538e-05  3.01199420e-05  2.99786597e-11  1.88651178e-17  4.33680869e-19
1.12107500e-02  -2.35139707e-08  1.50966737e-17  -6.06526103e-18  1.48444313e-18  3.37426368e-18  3.51969544e-18  2.35139708e-08  2.35139707e-08  2.35139707e-08  2.35139708e-08  2.35139708e-08  1.15769783e-17  9.58495648e-18  2.03525231e-18  1.45431759e-19  -1.09747850e-08  -1.70001734e-17  6.67932278e-18  -1.28556616e-18  -3.11130726e-18  -3.46154248e-18  1.09747850e-08  1.09747850e-08  1.09747850e-08  1.09747850e-08  1.09747850e-08  1.35386309e-17  1.01408653e-17  2.17597632e-18  3.50235222e-19  -2.28329443e-03  -2.88793528e-03  -2.30687229e-03  -2.30757316e-03  -2.30757315e-03  -2.30757315e-03  6.04640854e-04  2.35778621e-05  2.42787266e-05  2.42787240e-05  2.42787240e-05  5.80362130e-04  7.00861852e-07  2.60444487e-12  1.18394877e-16  3.47164819e-03  3.59680086e-03  3.56657312e-03  3.56657942e-03  3.56657942e-03  3.56657942e-03  1.25152677e-04  9.49249292e-05  9.49312302e-05  9.49312302e-05  9.49312302e-05  3.02214471e-05  6.30097437e-09  1.70002901e-16  4.90059382e-17  -1.02490742e-03  -1.08542766e-03  -1.05527424e-03  -1.05527427e-03  -1.05527427e-03  -1.05527427e-03  6.05202416e-05  3.03668216e-05  3.03668516e-05  3.03668516e-05  3.03668516e-05  3.01533900e-05  3.00119508e-11  1.88651178e-17  4.33680869e-19
1.34529000e-02  -2.81148621e-08  1.51134013e-17  -6.07198154e-18  1.48608794e-18  3.37800247e-18  3.52359538e-18  2.81148621e-08  2.81148620e-08  2.81148621e-08  2.81148621e-08  2.81148621e-08  1.15898059e-17  9.59557692e-18  2.03750744e-18  1.45592902e-19  -1.32719541e-08  -1.70190101e-17  6.68672368e-18  -1.28699061e-18  -3.11475469e-18  -3.46537798e-18  1.32719540e-08  1.32719541e-08  1.32719541e-08  1.32719541e-08  1.32719541e-08  1.35536321e-17  1.01521017e-17  2.17838738e-18  3.50623294e-19  -2.28587925e-03  -2.89113521e-03  -2.30942838e-03  -2.31013002e-03  -2.31013002e-03  -2.31013002e-03  6.05255961e-04  2.35491320e-05  2.42507731e-05  2.42507704e-05  2.42507704e-05  5.81005190e-04  7.01638430e-07  2.60733102e-12  1.18828558e-16  3.47559723e-03  3.60078624e-03  3.57052499e-03  3.57053130e-03  3.57053130e-03  3.57053130e-03  1.25189007e-04  9.49277652e-05  9.49340732e-05  9.49340732e-05  9.49340732e-05  3.02549334e-05  6.30795605e-09  1.69569220e-16  4.85722573e-17  -1.02607378e-03  -1.08663035e-03  -1.05644352e-03  -1.05644355e-03  -1.05644355e-03  -1.05644355e-03  6.05565735e-05  3.03697426e-05  3.03697726e-05  3.03697726e-05  3.03697726e-05  3.01868009e-05  3.00452050e-11  1.88651178e-17  4.33680869e-19
1.56950500e-02  -3.26740416e-08  1.51301104e-17  -6.07869462e-18  1.48773093e-18  3.38173713e-18  3.52749100e-18  3.26740416e-08  3.26740416e-08  3.26740416e-08  3.26740416e-08  3.26740416e-08  1.16026194e-17  9.60618562e-18  2.03976007e-18  1.45753867e-19  -1.55986138e-08  -1.70378260e-17  6.69411641e-18  -1.28841348e-18  -3.11819830e-18  -3.46920924e-18  1.55986138e-08  1.55986138e-08  1.55986138e-08  1.55986138e-08  1.55986138e-08  1.35686168e-17  1.01633256e-17  2.18079576e-18  3.51010937e-19  -2.28846215e-03  -2.89433160e-03  -2.31198164e-03  -2.31268406e-03  -2.31268406e-03  -2.31268406e-03  6.05869445e-04  2.35194911e-05  2.42219079e-05  2.42219053e-05  2.42219053e-05  5.81647539e-04  7.02414149e-07  2.61021326e-12  1.18828558e-16  3.47954212e-03  3.60476720e-03  3.57447250e-03  3.57447882e-03  3.57447882e-03  3.57447882e-03  1.25225083e-04  9.49303856e-05  9.49367006e-05  9.49367006e-05  9.49367006e-05  3.02883828e-05  6.31493002e-09  1.70002901e-16  4.90059382e-17  -1.02723901e-03  -1.08783171e-03  -1.05761150e-03  -1.05761153e-03  -1.05761153e-03  -1.05761153e-03  6.05926973e-05  3.03724923e-05  3.03725223e-05  3.03725223e-05  3.03725223e-05  3.02201749e-05  3.00784224e-11  1.88651178e-17  4.33680869e-19
1.79372000e-02  -3.71888211e-08  1.51468011e-17  -6.08540029e-18  1.48937211e-18  3.38546767e-18  3.53138233e-18  3.71888211e-08  3.71888211e-08  3.71888211e-08  3.71888211e-08  3.71888211e-08  1.16154188e-17  9.61678261e-18  2.04201021e-18  1.45914654e-19  -1.79519429e-08  -1.70566212e-17  6.70150098e-18  -1.28983478e-18  -3.12163812e-18  -3.47303628e-18  1.79519428e-08  1.79519429e-08  1.79519429e-08  1.79519429e-08  1.79519429e-08  1.35835849e-17  1.01745373e-17  2.18320149e-18  3.51398152e-19  -2.29104314e-03  -2.89752446e-03  -2.31453209e-03  -2.31523528e-03  -2.31523528e-03  -2.31523528e-03  6.06481321e-04  2.34889524e-05  2.41921440e-05  2.41921414e-05  2.41921414e-05  5.82289180e-04  7.03189012e-07  2.61309290e-12  1.19262239e-16  3.48348287e-03  3.60874377e-03  3.57841566e-03  3.57842198e-03  3.57842198e-03  3.57842198e-03  1.25260908e-04  9.49327906e-05  9.49391125e-05  9.49391125e-05  9.49391125e-05  3.03217952e-05  6.32189629e-09  1.70436582e-16  4.90059382e-17  -1.02840313e-03  -1.08903174e-03  -1.05877820e-03  -1.05877823e-03  -1.05877823e-03  -1.05877823e-03  6.06286165e-05  3.03750743e-05  3.03751044e-05  3.03751044e-05  3.03751044e-05  3.02535121e-05  3.01116033e-11  1.88651178e-17  4.33680869e-19
2.01793500e-02  -4.16565463e-08  1.51634734e-17  -6.09209858e-18  1.49101149e-18  3.38919411e-18  3.53526937e-18  4.16565463e-08  4.16565463e-08  4.16565463e-08  4.16565463e-08  4.16565463e-08  1.16282040e-17  9.62736795e-18  2.04425789e-18  1.46075265e-19  -2.03291076e-08  -1.70753957e-17  6.70887742e-18  -1.29125452e-18  -3.12507416e-18  -3.47685910e-18  2.03291076e-08  2.03291076e-08  2.03291076e-08  2.03291076e-08  2.03291076e-08  1.35985366e-17  1.01857365e-17  2.18560457e-18  3.51784941e-19  -2.29362220e-03  -2.90071381e-03  -2.31707973e-03  -2.31778370e-03  -2.31778369e-03  -2.31778369e-03  6.07091605e-04  2.34575275e-05  2.41614931e-05  2.41614905e-05  2.41614905e-05  5.82930114e-04  7.03963023e-07  2.61596907e-12  1.19262239e-16  3.48741949e-03  3.61271597e-03  3.58235447e-03  3.58236080e-03  3.58236080e-03  3.58236080e-03  1.25296477e-04  9.49349777e-05  9.49413065e-05  9.49413065e-05  9.49413065e-05  3.03551708e-05  6.32885489e-09  1.70002901e-16  4.90059382e-17  -1.02956612e-03  -1.09023046e-03  -1.05994361e-03  -1.05994364e-03  -1.05994364e-03  -1.05994364e-03  6.06643342e-05  3.03774914e-05  3.03775216e-05  3.03775216e-05  3.03775216e-05  3.02868126e-05  3.01447476e-11  1.88651178e-17  4.33680869e-19
2.24215000e-02  -4.60745808e-08  1.51801274e-17  -6.09878951e-18  1.49264906e-18  3.39291645e-18  3.53915215e-18  4.60745808e-08  4.60745808e-08  4.60745808e-08  4.60745808e-08  4.60745808e-08  1.16409752e-17  9.63794166e-18  2.04650309e-18  1.46235699e-19  -2.27272791e-08  -1.70941495e-17  6.71624575e-18  -1.29267270e-18  -3.12850641e-18  -3.48067772e-18  2.27272791e-08  2.27272791e-08  2.27272791e-08  2.27272791e-08  2.27272791e-08  1.36134718e-17  1.01969235e-17  2.18800502e-18  3.52171306e-19  -2.29619934e-03  -2.90389965e-03  -2.31962457e-03  -2.32032931e-03  -2.32032931e-03  -2.32032931e-03  6.07700308e-04  2.34252277e-05  2.41299665e-05  2.41299639e-05  2.41299639e-05  5.83570344e-04  7.04736183e-07  2.61884221e-12  1.19262239e-16  3.49135202e-03  3.61668381e-03  3.58628896e-03  3.58629530e-03  3.58629530e-03  3.58629530e-03  1.25331789e-04  9.49369437e-05  9.49432795e-05  9.49432795e-05  9.49432795e-05  3.03885098e-05  6.33580585e-09  1.70436582e-16  4.90059382e-17  -1.03072800e-03  -1.09142785e-03  -1.06110775e-03  -1.06110778e-03  -1.06110778e-03  -1.06110778e-03  6.06998530e-05  3.03797464e-05  3.03797765e-05  3.03797765e-05  3.03797765e-05  3.03200765e-05  3.01778554e-11  1.88651178e-17  4.33680869e-19
