# time  E1  E2  E3  E4  E5
9.99440620e-02  -8.04189717e-09  -5.07009758e-09  -2.40532727e-03  3.71380159e-03  -1.09868533e-03
2.00028298e-01  -1.35166203e-09  -3.84127752e-09  -2.51262935e-03  3.87940144e-03  -1.14767975e-03
