# time  E1  E2  E3  E4  E5
9.97757640e-02  -3.31309468e-08  -2.10635554e-08  -2.40101719e-03  3.69563897e-03  -1.09286839e-03
2.00112066e-01  -5.52199017e-09  -1.50321701e-08  -2.50916075e-03  3.86181087e-03  -1.14202133e-03
