Manufactured pseudo-ECG summary
samples 357
dimension 3D
qChecks 6 12 24 48
qReference 96
Electrode  L1_err_ref  L2_err_ref  Linf_err_ref  L1_err_q6  L2_err_q6  Linf_err_q6  L1_delta_q6_ref  L2_delta_q6_ref  Linf_delta_q6_ref  L1_err_q12  L2_err_q12  Linf_err_q12  L1_delta_q12_ref  L2_delta_q12_ref  Linf_delta_q12_ref  L1_err_q24  L2_err_q24  Linf_err_q24  L1_delta_q24_ref  L2_delta_q24_ref  Linf_delta_q24_ref  L1_err_q48  L2_err_q48  Linf_err_q48  L1_delta_q48_ref  L2_delta_q48_ref  Linf_delta_q48_ref
E1 2.29893e-08 2.50372e-08 3.43077e-08 2.29893e-08 2.50372e-08 3.43077e-08 1.20722e-17 1.20764e-17 1.2612e-17 2.29893e-08 2.50372e-08 3.43077e-08 9.99498e-18 9.99843e-18 1.04419e-17 2.29893e-08 2.50372e-08 3.43077e-08 2.12232e-18 2.12305e-18 2.21722e-18 2.29893e-08 2.50372e-08 3.43077e-08 1.51653e-19 1.51705e-19 1.58434e-19
E2 1.65279e-08 1.8314e-08 2.52e-08 1.65279e-08 1.8314e-08 2.52e-08 1.41178e-17 1.41227e-17 1.47491e-17 1.65279e-08 1.8314e-08 2.52e-08 1.05747e-17 1.05783e-17 1.10475e-17 1.65279e-08 1.8314e-08 2.52e-08 2.26906e-18 2.26984e-18 2.37052e-18 1.65279e-08 1.8314e-08 2.52e-08 3.65218e-19 3.65344e-19 3.81549e-19
E3 5.43589e-06 5.44826e-06 5.95461e-06 0.000610625 0.000610823 0.000636975 0.000605189 0.000605398 0.00063225 4.70504e-06 4.72085e-06 5.25745e-06 7.30844e-07 7.31096e-07 7.63524e-07 5.43589e-06 5.44826e-06 5.95461e-06 2.71586e-12 2.7168e-12 2.8373e-12 5.43589e-06 5.44826e-06 5.95461e-06 1.23696e-16 1.23739e-16 1.29237e-16
E4 2.38217e-05 2.38218e-05 2.38943e-05 5.53359e-05 5.53411e-05 5.65683e-05 3.15143e-05 3.15251e-05 3.29234e-05 2.38151e-05 2.38152e-05 2.3888e-05 6.57052e-09 6.57279e-09 6.86432e-09 2.38217e-05 2.38218e-05 2.38943e-05 1.7689e-16 1.76951e-16 1.84748e-16 2.38217e-05 2.38218e-05 2.38943e-05 5.09326e-17 5.09509e-17 5.33427e-17
E5 7.64013e-06 7.64015e-06 7.65673e-06 3.90834e-05 3.90918e-05 4.04509e-05 3.14433e-05 3.14542e-05 3.28493e-05 7.6401e-06 7.64011e-06 7.6567e-06 3.12958e-11 3.13066e-11 3.26952e-11 7.64013e-06 7.64015e-06 7.65673e-06 1.95594e-17 1.95664e-17 2.05998e-17 7.64013e-06 7.64015e-06 7.65673e-06 4.57369e-19 4.62344e-19 6.50521e-19
