Label,Points:0,Points:1,Points:2,activationTime
P1,0.0,0.0,0.007,0.00119495
P2,0.0,0.0,0.0,0.132316
P3,0.019999,0.0,0.007,0.046518
P4,0.019999,0.0,0.0,0.142155
P5,0.0,0.003,0.007,0.0359355
P6,0.0,0.003,0.0,0.133633
P7,0.019999,0.003,0.007,0.0559663
P8,0.019999,0.003,0.0,0.143067
P9,0.01,0.0015,0.0035,0.070721
