case,variant,dim,N,h,field,L1,L2,Linf,rate_L2,rate_Linf
niederer,implicit_TNNP_epicardialCells_DT0.005_DX0.5,3D,P6,0.5,P6,,0.133521,,,
niederer,implicit_TNNP_epicardialCells_DT0.005_DX0.5,3D,P7,0.5,P7,,0.0559146,,,
niederer,implicit_TNNP_epicardialCells_DT0.005_DX0.5,3D,P8,0.5,P8,,0.142926,,,
niederer,implicit_TNNP_epicardialCells_DT0.005_DX0.5,3D,P9,0.5,P9,,0.0706415,,,
niederer,implicit_TNNP_epicardialCells_DT0.01_DX0.1,3D,P1,0.1,P1,,0.00119339,,,
niederer,implicit_TNNP_epicardialCells_DT0.01_DX0.1,3D,P2,0.1,P2,,0.0311024,,,
niederer,implicit_TNNP_epicardialCells_DT0.01_DX0.1,3D,P3,0.1,P3,,0.0331389,,,
niederer,implicit_TNNP_epicardialCells_DT0.01_DX0.1,3D,P4,0.1,P4,,0.0446695,,,
niederer,implicit_TNNP_epicardialCells_DT0.01_DX0.1,3D,P5,0.1,P5,,0.00934012,,,
niederer,implicit_TNNP_epicardialCells_DT0.01_DX0.1,3D,P6,0.1,P6,,0.0326097,,,
niederer,implicit_TNNP_epicardialCells_DT0.01_DX0.1,3D,P7,0.1,P7,,0.0344061,,,
niederer,implicit_TNNP_epicardialCells_DT0.01_DX0.1,3D,P8,0.1,P8,,0.0456311,,,
niederer,implicit_TNNP_epicardialCells_DT0.01_DX0.1,3D,P9,0.1,P9,,0.0208786,,,
niederer,implicit_TNNP_epicardialCells_DT0.01_DX0.2,3D,P1,0.2,P1,,0.00119338,,,
niederer,implicit_TNNP_epicardialCells_DT0.01_DX0.2,3D,P2,0.2,P2,,0.0404966,,,
niederer,implicit_TNNP_epicardialCells_DT0.01_DX0.2,3D,P3,0.2,P3,,0.0351338,,,
niederer,implicit_TNNP_epicardialCells_DT0.01_DX0.2,3D,P4,0.2,P4,,0.0536261,,,
niederer,implicit_TNNP_epicardialCells_DT0.01_DX0.2,3D,P5,0.2,P5,,0.0112286,,,
niederer,implicit_TNNP_epicardialCells_DT0.01_DX0.2,3D,P6,0.2,P6,,0.0422689,,,
niederer,implicit_TNNP_epicardialCells_DT0.01_DX0.2,3D,P7,0.2,P7,,0.0365683,,,
niederer,implicit_TNNP_epicardialCells_DT0.01_DX0.2,3D,P8,0.2,P8,,0.054596,,,
niederer,implicit_TNNP_epicardialCells_DT0.01_DX0.2,3D,P9,0.2,P9,,0.02396,,,
niederer,implicit_TNNP_epicardialCells_DT0.01_DX0.5,3D,P1,0.5,P1,,0.00119496,,,
niederer,implicit_TNNP_epicardialCells_DT0.01_DX0.5,3D,P2,0.5,P2,,0.132315,,,
niederer,implicit_TNNP_epicardialCells_DT0.01_DX0.5,3D,P3,0.5,P3,,0.0465183,,,
niederer,implicit_TNNP_epicardialCells_DT0.01_DX0.5,3D,P4,0.5,P4,,0.142155,,,
niederer,implicit_TNNP_epicardialCells_DT0.01_DX0.5,3D,P5,0.5,P5,,0.0359346,,,
niederer,implicit_TNNP_epicardialCells_DT0.01_DX0.5,3D,P6,0.5,P6,,0.133633,,,
niederer,implicit_TNNP_epicardialCells_DT0.01_DX0.5,3D,P7,0.5,P7,,0.0559661,,,
niederer,implicit_TNNP_epicardialCells_DT0.01_DX0.5,3D,P8,0.5,P8,,0.143067,,,
niederer,implicit_TNNP_epicardialCells_DT0.01_DX0.5,3D,P9,0.5,P9,,0.0707206,,,
