# time Cd
0.05 -2.69097
0.1 -2.93187
0.15 -2.61447
0.2 -2.53821
0.25 -2.18268
0.3 -1.99876
0.35 -1.60677
0.4 -1.41974
0.45 -0.885112
0.5 -0.582643
0.55 -0.142111
0.6 0.0785836
0.65 0.422775
0.7 0.726346
0.75 1.13347
0.8 1.37047
0.85 1.68607
0.9 1.85539
0.95 2.12137
1 2.32441
1.05 2.53091
1.1 2.63027
1.15 3.02399
1.2 3.03956
1.25 3.33385
1.3 3.27148
1.35 3.40428
1.4 3.70062
1.45 3.91136
1.5 3.8096
1.55 3.83171
1.6 3.81721
1.65 3.80436
1.7 3.70496
1.75 4.04502
1.8 3.54245
1.85 3.74305
1.9 3.6733
1.95 3.51472
2 3.26198
2.05 2.93518
2.1 2.63854
2.15 2.54746
2.2 2.52239
2.25 2.17609
2.3 2.00217
2.35 1.60749
2.4 1.40866
2.45 0.885117
2.5 0.582202
2.55 0.14007
2.6 -0.0814659
2.65 -0.421374
2.7 -0.715274
2.75 -1.1243
2.8 -1.36284
2.85 -1.67885
2.9 -1.84863
2.95 -2.11558
3 -2.31977
3.05 -2.52853
3.1 -2.62966
3.15 -3.04233
3.2 -3.05979
3.25 -3.36864
3.3 -3.30803
3.35 -3.46027
3.4 -3.79317
3.45 -4.04257
3.5 -3.97897
3.55 -4.0477
3.6 -4.05581
3.65 -4.11408
3.7 -4.03636
3.75 -4.45829
3.8 -3.87696
3.85 -4.09555
3.9 -3.98543
3.95 -3.7729
4 -3.462
4.05 -3.08341
4.1 -2.74702
4.15 -2.63689
4.2 -2.5975
4.25 -2.2287
4.3 -2.0428
4.35 -1.63391
4.4 -1.42818
4.45 -0.89553
4.5 -0.588591
4.55 -0.143097
4.6 0.079519
4.65 0.421096
4.7 0.723245
4.75 1.12547
4.8 1.36439
4.85 1.68025
4.9 1.85032
4.95 2.1171
5 2.32147
5.05 2.52986
5.1 2.63129
5.15 3.04475
5.2 3.06246
5.25 3.37119
5.3 3.31062
5.35 3.46278
5.4 3.79528
5.45 4.04535
5.5 3.98094
5.55 4.04867
5.6 4.05539
5.65 4.1118
5.7 4.03195
5.75 4.45089
5.8 3.86895
5.85 4.08498
5.9 3.97397
5.95 3.76161
6 3.4514
6.05 3.07406
6.1 2.73871
6.15 2.62875
6.2 2.58948
6.25 2.22241
6.3 2.03791
6.35 1.6308
6.4 1.42631
6.45 0.89531
6.5 0.58942
6.55 0.144419
6.6 -0.0776921
6.65 -0.418836
6.7 -0.713511
6.75 -1.1235
6.8 -1.36235
6.85 -1.67875
6.9 -1.84868
6.95 -2.11581
7 -2.32027
7.05 -2.5289
7.1 -2.63036
7.15 -3.04393
7.2 -3.0616
7.25 -3.37053
7.3 -3.30999
7.35 -3.46255
7.4 -3.79468
7.45 -4.04481
7.5 -3.98062
7.55 -4.04838
7.6 -4.05506
7.65 -4.11163
7.7 -4.03203
7.75 -4.45053
7.8 -3.86901
7.85 -4.08504
7.9 -3.97392
7.95 -3.76152
8 -3.45125
