# time Cd
0.05 -4.27458
0.1 -2.80066
0.15 -2.41127
0.2 -2.19102
0.25 -1.94353
0.3 -1.70583
0.35 -1.47258
0.4 -1.19636
0.45 -0.927476
0.5 -0.635359
0.55 -0.342098
0.6 -0.0608513
0.65 0.218838
0.7 0.483353
0.75 0.735787
0.8 0.97049
0.85 1.17628
0.9 1.37385
0.95 1.5559
1 1.72514
1.05 1.89695
1.1 2.05006
1.15 2.19813
1.2 2.35454
1.25 2.4853
1.3 2.63414
1.35 2.77327
1.4 2.91045
1.45 3.02701
1.5 3.13039
1.55 3.17035
1.6 3.24177
1.65 3.27139
1.7 3.23974
1.75 3.18765
1.8 3.13254
1.85 3.05954
1.9 2.98786
1.95 2.87648
2 2.75492
2.05 2.64532
2.1 2.49696
2.15 2.30363
2.2 2.12962
2.25 1.91243
2.3 1.68079
2.35 1.44707
2.4 1.17371
2.45 0.907533
2.5 0.618651
2.55 0.328304
2.6 0.0499513
2.65 -0.227178
2.7 -0.489824
2.75 -0.739549
2.8 -0.97237
2.85 -1.17683
2.9 -1.37384
2.95 -1.55602
3 -1.72575
3.05 -1.89966
3.1 -2.05527
3.15 -2.20698
3.2 -2.36948
3.25 -2.50663
3.3 -2.66652
3.35 -2.82166
3.4 -2.97899
3.45 -3.12368
3.5 -3.26472
3.55 -3.33917
3.6 -3.4562
3.65 -3.52589
3.7 -3.5145
3.75 -3.46877
3.8 -3.40382
3.85 -3.30726
3.9 -3.20551
3.95 -3.05886
4 -2.9041
4.05 -2.76711
4.1 -2.59331
4.15 -2.37858
4.2 -2.18728
4.25 -1.95514
4.3 -1.71143
4.35 -1.46833
4.4 -1.18736
4.45 -0.915826
4.5 -0.622884
4.55 -0.329799
4.6 -0.0497141
4.65 0.228365
4.7 0.491175
4.75 0.74151
4.8 0.974434
4.85 1.17891
4.9 1.37581
4.95 1.55782
5 1.72778
5.05 1.90144
5.1 2.05703
5.15 2.20863
5.2 2.37108
5.25 2.50811
5.3 2.66788
5.35 2.82263
5.4 2.97956
5.45 3.12405
5.5 3.26205
5.55 3.33676
5.6 3.45172
5.65 3.51867
5.7 3.50499
5.75 3.45718
5.8 3.39079
5.85 3.29355
5.9 3.19126
5.95 3.0451
6 2.89138
6.05 2.75536
6.1 2.58273
6.15 2.36822
6.2 2.17797
6.25 1.94712
6.3 1.70488
6.35 1.46333
6.4 1.18393
6.45 0.913738
6.5 0.622018
6.55 0.329819
6.6 0.0503994
6.65 -0.227394
6.7 -0.490426
6.75 -0.740365
6.8 -0.973326
6.85 -1.17787
6.9 -1.3749
6.95 -1.5571
7 -1.72685
7.05 -1.90076
7.1 -2.05637
7.15 -2.20804
7.2 -2.37053
7.25 -2.5076
7.3 -2.6674
7.35 -2.82216
7.4 -2.97914
7.45 -3.12319
7.5 -3.26309
7.55 -3.33615
7.6 -3.45115
7.65 -3.51843
7.7 -3.5049
7.75 -3.45718
7.8 -3.39083
7.85 -3.2936
7.9 -3.19186
7.95 -3.04555
8 -2.89153
