Label,Points:0,Points:1,Points:2,activationTime
P1,0.0,0.0,0.007,0.00119338
P2,0.0,0.0,0.0,0.0311022
P3,0.019999,0.0,0.007,0.0331386
P4,0.019999,0.0,0.0,0.0446693
P5,0.0,0.003,0.007,0.00933998
P6,0.0,0.003,0.0,0.0326095
P7,0.019999,0.003,0.007,0.0344058
P8,0.019999,0.003,0.0,0.0456309
P9,0.01,0.0015,0.0035,0.0208784
