start_probe,end_probe,dx_mm,dt_ms,cv_m_per_s
0,1,3.000000,6.029160,0.49758175
1,2,5.000000,10.568710,0.47309464
2,3,5.000000,10.630800,0.47033149
3,4,3.000000,6.375200,0.47057347
