start_probe,end_probe,dx_mm,dt_ms,cv_m_per_s
0,1,3.000000,4.153760,0.72223720
1,2,5.000000,7.089940,0.70522459
2,3,5.000000,7.110900,0.70314587
3,4,3.000000,4.262300,0.70384534
