start_probe,end_probe,dx_mm,dt_ms,cv_m_per_s
0,1,3.000000,4.252950,0.70539273
1,2,5.000000,7.277530,0.68704629
2,3,5.000000,7.300600,0.68487522
3,4,3.000000,4.376300,0.68551059
