# time Cd
0.2 73.0124
0.4 82.5883
0.6 18.244
0.8 -67.4162
1 -30.1219
1.2 68.9685
1.4 86.0119
1.6 20.1907
1.8 -64.8494
2 -27.4964
2.2 69.9915
2.4 87.0922
2.6 20.0187
2.8 -64.5155
3 -26.4691
3.2 70.746
3.4 87.1115
3.6 19.3129
3.8 -64.8418
4 -26.3611
4.2 71.0179
4.4 86.8472
4.6 18.6909
4.8 -65.1953
5 -26.4685
5.2 71.0874
5.4 86.5819
5.6 18.2592
5.8 -65.4544
6 -26.5998
6.2 71.0786
6.4 86.3797
6.6 17.9894
6.8 -65.6193
7 -26.7037
7.2 71.0451
7.4 86.2472
7.6 17.8311
7.8 -65.7132
8 -26.7708
