start_probe,end_probe,dx_mm,dt_ms,cv_m_per_s
0,1,3.000000,6.266630,0.47872621
1,2,5.000000,10.428100,0.47947373
2,3,5.000000,11.463900,0.43615175
3,4,3.000000,5.209700,0.57584890
