start_probe,end_probe,dx_mm,dt_ms,cv_m_per_s
0,1,3.000000,4.525720,0.66287795
1,2,5.000000,7.537070,0.66338776
2,3,5.000000,7.537500,0.66334992
3,4,3.000000,4.522700,0.66332058
