start_probe,end_probe,dx_mm,dt_ms,cv_m_per_s
0,1,3.000000,6.373980,0.47066354
1,2,5.000000,10.598600,0.47176042
2,3,5.000000,10.600200,0.47168921
3,4,3.000000,6.361400,0.47159430
